name,homepage,description,status,abbreviation,countries,year_created,funder,funder_type,contact_name,contact_email,data_access_condition,publications
Database of publications on coronavirus disease (COVID-19),https://www.who.int/emergencies/diseases/novel-coronavirus-2019/global-research-on-novel-coronavirus-2019-ncov,"The WHO is gathering the latest scientific findings and knowledge on coronavirus disease (COVID-19) and compiling it in a database. The database is updated daily from searches of bibliographic databases, manual searches of the table of contents of relevant journals, and the addition of other relevant scientific articles that come to our attention. Note - the entries in the database may not be exhaustive and new research will be added regularly.",ready,,Worldwide,2020,,,,,open,
Coronavirus and MS Reporting Database,https://www.covims.org/,"COViMS (COVID-19 Infections in MS & Related Diseases) is a joint effort of the National MS Society, Consortium of MS Centers and Multiple Sclerosis Society of Canada to capture information on outcomes of people with MS and other CNS demyelinating diseases (Neuromyelitis Optica, or MOG antibody disease) who have developed COVID-19.",deprecated,,Canada,2020,,,General contact,info@covims.org,controlled,10.1002/ana.25907
Chinese Clinical Trial Registry,https://www.chictr.org.cn/indexEN.html,"Chinese Clinical Trial Registry provides the services include register for trials, consultation for trial design, central randomization for an allocation sequence, peer review for draft articles and training for peer reviewers.",ready,ChiCTR,China,2005,,,Taixiang Wu,txwutx@hotmail.com,open,10.1111/j.1756-5391.2011.01137.x
COVID-19 Dermatology registry,https://www.aad.org/member/practice/coronavirus/registry,"COVID-19 Dermatology registry aims at collect cases of COVID-19 cutaneous manifestations. The registry is open to medical professionals only, from any specialty.",ready,,United States,2020,,,General contact,covidregistry@aad.org,controlled,S0190-9622(20)32126-5; S0190-9622(20)30984-1; S0190-9622(20)30658-7; 10.1016/j.jaad.2020.06.050
Surveillance Epidemiology of Coronavirus (COVID-19) Under Research Exclusion - IBD,https://covidibd.org/,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-IBD) is an international, pediatric and adult database to monitor and report on outcomes of COVID-19 occurring in IBD patients. The goals of the registry is to rapidly define the impact of COVID-19 on patients with IBD and how factors such as age, comorbidities, and IBD treatments impact COVID outcomes.",deprecated,SECURE-IBD,United States,2020,,,Michael D. Kappelman,Michael_Kappelman@med.unc.edu,not found,
Multi-year Long COVID study,https://en.c-support.nu/data-aanvraag-meerjarig-long-covid-onderzoek/,"In February 2022, C-support, together with Erasmus MC, started a large-scale multi-year study into Long COVID. People who had been registered with C-support up to January 2022 with long-term symptoms after a COVID-19 infection and who completed the 1th questionnaire are invited annually for an extensive questionnaire. So far there have been three rounds of questionnaires: more than 11.000 people have completed the 1th questionnaire and approximately 8.000 people completed the 2nd and/or 3rd questionnaire.

An overview of the topics per questionnaire and more information is available on our website: https://en.c-support.nu/data-aanvraag-meerjarig-long-covid-onderzoek/

You can request a portion of this data to use for your own research or analyses. We can also perform analyses for you, such as creating customized summary tables and/or graphs.

About C-support: C-support supports people with long-term symptoms after COVID-19 or a COVID-19 vaccination. In addition, C-support shares knowledge with (healthcare) professionals and promotes research, for example by making data available.",ready,,Netherlands,2022,,,C-support,onderwijsenonderzoek@q-support.nu,controlled,10.1186/s12913-024-11488-w; 10.3389/fepid.2023.1144707; 10.1017/S0950268823001139
COVID-19 Data Portal,https://www.covid19dataportal.org,"The COVID-19 Data Portal enables researchers to upload, access and analyse COVID-19 related reference data and specialist datasets. The aim of the COVID-19 Data Portal is to facilitate data sharing and analysis, and to accelerate coronavirus research. The portal includes relevant datasets submitted to EMBL-EBI as well as other major centres for biomedical data. The COVID-19 Data Portal is the primary entry point into the functions of a wider project, the European COVID-19 Data Platform.",ready,,European Union,2020,European Commission Horizon 2020,Government body,European COVID-19 Data Platform,ecovid19@ebi.ac.uk,open,
COVID-19 CVD Registry,https://www.heart.org/en/professional/quality-improvement/covid-19-cvd-registry,"As physicians, scientists and researchers worldwide struggle to understand the novel coronavirus (COVID-19) pandemic, the American Heart Association (AHA) is developing a novel registry to aggregate data and aid research on the disease, treatment protocols and risk factors tied to adverse cardiovascular outcomes.",ready,,United States,2020,,,General contact,qualityresearch@heart.org,controlled,
SECURE-Cirrhosis Registry,https://covidcirrhosis.web.unc.edu/,"SECURE-Cirrhosis Registry is a secure, online, de-identified Personal Health Identifier (PHI)-free reporting registry for patients with chronic liver disease and post-liver transplantation",deprecated,,United States,2020,,,General contact,covid.cirrhosis@unc.edu,controlled,S0168-8278(20)33667-9; S2468-1253(20)30271-5
European Renal Association COVID-19 Database,https://www.eracoda.org/,The European Renal Association COVID-19 Database is a European database collecting clinical information of patients on kidney replacement therapy with COVID-19.,deprecated,ERACODA,Netherlands,2021,"Dutch Kidney Foundation (Nierstichting), Bussum, Netherlands; European Renal Association (ERA-EDTA); Sandoz; Baxter",Charitable foundation; Company; Consortium,General contact,COVID.19.KRT@umcg.nl,controlled,10.1093/ckj/sfab027; 10.1093/ndt/gfaa314; 10.1093/ndt/gfaa261; 10.1093/ndt/gfaa179
GISAID EpiCoV™ Database,https://db.cngb.org/gisaid/,"China National GeneBank DataBase (CNGBdb) is an official partner of the GISAID Initiative. It provides access to EpiCoV and features the most complete collection of hCoV-19 genome sequences along with related clinical and epidemiological data. With the data from this database scientific researchers can construct a virus phylogenetic tree to reveal the characteristics of the pathogen, and provide effective references for the study and analysis of the evolutionary source and pathological mechanism of the novel coronavirus.",ready,,China,2020,,,General contact,CNGBdb@cngb.org,open,
COVID-19 Research Collaborations,https://covid19.elsevierpure.com/,"The COVID-19 Research Collaborations database stores information on researchers and institutions for the purposes of identifying potential research experts or collaborators in areas related to the coronavirus epidemic across basic science, translational research, or clinical practice.",deprecated,,Netherlands,2020,,,,,not found,
COVID-HEP Registry,https://www.covid-hep.net/,"COVID-HEP Registry is a universal and collaborative registry project to collect data on patients with liver disease at any stage or liver transplants who develop laboratory-confirmed COVID-19. We are pleased to encourage reports from worldwide. However, if reporting from the Americas or China/Japan/Korea, please see our collaborators at: SECURE-cirrhosis.",deprecated,,United Kingdom,2020,,,Thomas Marjot,Thomas.marjot@ndm.ox.ac.uk,controlled,S0168-8278(20)33667-9; S2468-1253(20)30271-5
COVID-19 Registry,https://registry.rice.edu/covid19,"The COVID-19 Registry is a research project that aims to provide real-time information on the spread of COVID-19, who is being affected, and how. 
",deprecated,,,,Environmental Defense Fund,Charitable foundation,Marie Lynn Miranda; Joanna Espinoza,Covid19Registry@rice.edu; irb@rice.edu,controlled,
HIV and COVID-19 Registry in Europe,https://www.neat-id.org/,"In March the NEAT ID Foundation initiated the development of a simple Data “Dashboard” to monitor the progress of COVID-19 in HIV infected patients across Europe in real time. The Dashboard shows at European and Country level the number of cases reported to NEAT ID with COVID-19 co-infection with HIV, the number of hospitalisations and the number of deaths (from sites who have contributed to date).",deprecated,,European Union,2020,,,General contact,NEAT-ID@NEAT-ID.org,not found,
McMaster Multi-Regional Hospital Coronavirus Registry,https://www.coregontario.ca/,"The Coronavirus (COVID-19) Registry (COREG) is a comprehensive registry platform that facilitates uniform data collection of patients both tested for COVID-19 and those admitted with suspected or confirmed COVID-19.  It is an extension of the ISARIC-WHO case report form (CRF) to capture information of local importance to understand spread, disease course, and comparative outcomes.
",deprecated,COREG,Canada,2020,Canadian Institutes of Health Research; Hamilton Academic Health Sciences Organization,Government body; Research institute,General contact; Catalina Lopez-Correa,info@coregontario.ca; clopez@genomecanada.ca,controlled,10.1007/s11739-021-02637-8
Ensembl Genomes,https://ensemblgenomes.org/,"The Ensembl genome annotation system, developed jointly by EMBL-EBI and the Wellcome Trust Sanger Institute, has been used for the annotation, analysis and display of vertebrate genomes since 2000. Since 2009, the Ensembl site has been complemented by the creation of five new sites, for bacteria, protists, fungi, plants and invertebrate metazoa, enabling users to use a single collection of (interactive and programatic) interfaces for accessing and comparing genome-scale data from species of scientific interest from across the taxonomy.",ready,Ensembl Genomes,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2008,"European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Bill and Melinda Gates Foundation, Seattle, Washington, USA; National Science Foundation (NSF), USA; European Commission FP7; The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK",Charitable foundation; Government body; Research institute,Helpdesk,helpdesk@ensembl.org,open,10.1093/nar/gkz890; 10.1093/nar/gkv1209
Integrated Resource for Reproducibility in Macromolecular Crystallography,https://proteindiffraction.org,"The Integrated Resource for Reproducibility in Macromolecular Crystallography (IRRMC) was created to make the raw data of protein crystallography more widely available. The IRRMC identifies, catalogs and provides metadata related to datasets that could be used to reprocess the original diffraction data. The intent of this project is to make the resulting three-dimensional structures more reproducible and easier to modify and improve as processing methods advance.",ready,IRRMC,United States,2015,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,Wladek Minor Lab,support@protein.diffraction.org,open,10.1063/1.5128672; 10.1107/S2059798316014716
iReceptor Public Archive,https://www.ireceptor.org/,A data repository for the storage and sharing of Adaptive Immune Receptor Repertoire data. Primary public repository for the iReceptor Platform and Scientific Gateway.,ready,IPA,Canada,2014,European Comission Horizon 2020; Canadian Institutes of Health Research (CIHR); CANARIE Network Enabled Platforms Program; British Columbia Knowledge Development Fund (BCKDF); Canada Foundation for Innovation,Company; Government body,Brian Corrie,bdcorrie@gmail.com,open,10.1111/imr.12666
"Psoriasis Patient Registry for Outcomes, Therapy and Epidemiology of COVID-19 Infection",https://psoprotect.org/,"PsoProtect is an international registry for health care providers to report outcomes of COVID-19 in individuals with psoriasis. It provides regular, open access summaries of all reported cases, for the benefit of the international psoriasis community.

",ready,PsoProtect,Worldwide,2020,,,Satveer Mahil,satveer.2.mahil@kcl.ac.uk,controlled,10.1016/j.det.2021.05.013; 10.1016/j.jaad.2020.06.050
COVID-19 Pandemic (AUSSDA - The Austrian Social Science Data Archive),https://data.aussda.at/dataverse/covid19,"Social Science Data on Coronavirus Disease: Your information hub for SARS-CoV-2 / COVID-19 pandemic related studies in Austria in the social sciences. Studies will be made available as fast as possible. Thus, not all information is available in English. Some studies will be published as pre-releases meaning that these are not the final datasets. Researchers therefore are obliged to check the most recent version before publishing and must add a disclaimer that they have been publishing with a pre-release version. Pre-release datasets are likely to be updated and substantial changes can happen as part of the continuing quality checks (e.g., weighting variables might change).",ready,COVID Data Hub by AUSSDA,Austria,,,,,,open,
Zoltar,https://zoltardata.com/,"Zoltar is a research data repository that stores forecasts made by external models in standard formats and provides tools for validation, visualization, and scoring. Zoltar can host real-time or retrospective forecasting challenges, competitions, or research projects, with users specifying the forecast targets.",in_development,Zoltar,United States,2020,"National Institute of General Medical Sciences (NIGMS), Bethesda, MD, USA",Government body,General Contact,zoltar@reichlab.io,open,
Yale University Open Data Access Project,https://yoda.yale.edu/welcome-yoda-project,"The Yale University Open Data Access (YODA) Project at the Center for Outcomes Research and Evaluation advocates for the responsible sharing of clinical research data. The Project is committed to open science and data transparency, and supports research attempting to produce concrete benefits to patients, the medical community, and society as a whole. Through experience and input from the public and stakeholders, the YODA Project has iteratively developed a model to make data available to researchers in a sustainable way, in which data sharing becomes a part of the clinical research enterprise of the future. The mission of the YODA Project is to not only increase access to clinical research data, but to promote its use to generate new knowledge.",ready,YODA Project,United States,2011,,,Harlan Krumholz,harlan.krumholz@yale.edu,controlled,
Pregnancy CoRonavIrus Outcomes RegIsTrY,https://priority.ucsf.edu/,PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY) is a nationwide study of pregnant or recently pregnant people who are either under investigation for Coronavirus infection (COVID-19) or have been confirmed to have COVID-19. This study is being done to help patients and healthcare providers better understand how COVID-19 impacts pregnant people and their newborns.,ready,PRIORITY,United States,2020,"CDC Foundation, Atlanta, GA, USA; UCSF COVID-19 Response Fund, San Francisco, CA, USA; Yellow Chair Foundation, San Francisco, CA, USA",Charitable foundation,General contact,PRIORITYCOVID19@ucsf.edu,controlled,ciaa1411
COVID-19 Data Index,https://www.covid19dataindex.org,"The COVID-19 Data Index collects and indexes COVID-19 datasets from major data repositories, publications, and individual online sources. Diverse types of datasets, including clinical, epidemiological, imaging, omics, socio-demographic, environment, and transportation data are being generated on a daily basis in response to the COVID-19 pandemic, and the goal of the COVID-19 Data Index is to make these datasets easily findable and reusable for researchers.",ready,,United States,2020,"National Science Foundation (NSF), USA; University of Texas Health Science Center (UTHealth), Houston, TX, USA",Government body; University,,firat.tiryaki@uth.tmc.edu,open,
COVID-19 Global Rheumatology Alliance,https://rheum-covid.org/,"COVID-19 Global Rheumatology Alliance aim to collect, analyze and disseminate information about COVID-19 and rheumatology to patients, physicians and other relevant groups to improve the care of patients with rheumatic disease.",ready,,Worldwide,2020,"Pfizer, USA; AMGEN, USA; Johnson & Johnson, USA; Cellzome, GSK, Middlesex, UK.; Cellzome, GSK, Middlesex, UK.; Janssen, Belgium; Abbvie, North Chicago, Illinois, USA; Gilead, Foster City, CA, USA; Bristol Myers Squibb, New York, NY, USA",Company,General contact,rheum.covid@gmail.com,open,10.1002/acr.24257; 10.1002/art.41567; keaa483; 10.1136/annrheumdis-2020-217871; 10.1093/rheumatology/keaa191; 10.1016/S2665-9913(20)30095-3
 COVID-19 Data Repository,https://www.openicpsr.org/openicpsr/covid19,"The COVID-19 Data Repository is a repository for data examining the social, behavioral, public health, and economic impact of the novel coronavirus global pandemic. This is a free self-publishing option for any researcher who wants to share data related to COVID-19. Deposits should include all data, annotated program code, command files, and documentation necessary to understand the data collection and/or replicate research findings.
",ready,,United States,2022,,,,,open,
The COVID-19 and Cancer Consortium,https://ccc19.org/,"CCC19 is a consortium of over 120 cancer centers and other organizations who have come together to collect data about patients with cancer who have been diagnosed with COVID-19.
",ready,CCC19,United States,2020,,,CCC19 contact,contact@ccc19.org,partially open,10.1016/s0140-6736(20)31187-9; 10.1158/2159-8290.cd-20-0941; 10.1016/j.ccell.2020.10.022; 10.1016/j.annonc.2021.02.024; 10.1001/jamaoncol.2021.1799; 10.1111/jth.15463; 10.1001/jamanetworkopen.2021.34330; 10.1016/j.annonc.2021.12.006; 10.1001/jamanetworkopen.2021.42046; 10.1093/ofid/ofac037; 10.1016/s2666-7568(22)00009-5; 10.1158/2643-3230.bcd-22-0013; 10.1001/jamanetworkopen.2022.4304; 10.2139/ssrn.4089485; 10.3390/cancers14174334
MS Global Data-Sharing Initiative,https://www.qmenta.com/covid19-patients_ms/,"The Multiple Sclerosis International Federation (MSIF) and the Multiple Sclerosis Data Alliance (MSDA) have teamed up to form a Global Data Sharing Initiative to achieve insights on the effect of COVID-19 in people with MS as fast as possible, with the intent to steer clinical decision-making during the pandemic.",deprecated,,Worldwide,2020,,,Ariadna Torrens,ariadna.torrens@qmenta.com,not found,
Discovery VIRUS COVID-19 Registry,https://www.sccm.org/research/discovery-research-network/discovery-research-collaboratives/virus-covid-19-registry,"VIRUS is a cross-sectional, observational study and registry of all eligible adult and pediatric patients who are admitted to a hospital.",deprecated,,United States,2020,,,Vishakha Kumar,vkumar@sccm.org,controlled,10.1097/CCE.0000000000000113; 10.1097/CCM.0000000000004572
Dutch National COVID-19 clinical data dashboard,https://covid19initiatives.health-ri.nl/p/Dashboard,"The Dutch national COVID-19 clinical data dashboard allows exploration and reuse of clinical data from Dutch university medical centers (UMCs). The dashboard provides researchers with a clear overview of what is available, allow searching for specific data and make access to such data easier when the necessary ethical and legal conditions have been met.",ready,COVID-NL clinical data,Netherlands,2021,,,General Contact,info@health-ri.nl,controlled,
GHDDI Info Sharing Portal,https://ghddi-ailab.github.io/Targeting2019-nCoV/,"GHDDI Info Sharing Portal is the public information sharing portal and data repository for the drug discovery community, initiated by GHDDI. We are making our drug discovery capabilities and resources available at no cost to all researchers who are developing new treatments for COVID-19.",ready,,China,2020,,,,,open,
SECURE-Sickle Cell Disease Registry,https://covidsicklecell.org/,This registry is designed to capture pediatric and adult COVID-19 cases that are occurring across the world in patients living with sickle cell disease. The goal of the registry is to report on outcomes of cases of COVID-19 in this population of patients.,deprecated,Secure-SCD Registry,United States,2020,,,General contact,covid.sicklecell@mcw.edu,not found,
Global Registry of COVID-19 in Pediatric Cancer,https://global.stjude.org/en-us/global-covid-19-observatory-and-resource-center-for-childhood-cancer/registry.html,"The Global COVID-19 Observatory and Resource Center for Childhood Cancer is for health care professionals focused on pediatric cancer. The resource provides a way for providers to collaborate, connect and find the latest information on COVID-19 as it relates to childhood cancer.  
",ready,,United States,2022,,,,,controlled,
Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY,https://capacity-covid.eu/,"CAPACITY-COVID is a registry of patients with COVID-19, their history of cardiovascular disease and the occurrence of cardiovascular complications in COVID-19 patients. CAPACITY uses an extension of the CRF released by the ISARIC and WHO in response to the emerging outbreak of COVID-19.",ready,CAPACITY-COVID,,2020,,,,,controlled,
COVID19-NMR,https://covid19-nmr.de/,"The COVID-19 NMR Repository aims to make as many viral RNA and proteins as possible available for NMR work and screen them using a fragment library. Originally, the goal of the project was to determine RNA and protein structures of SARS-CoV-2 and to investigate the drugability of those structures by small molecules. As the initial work has been completed, they continue to investigate viral research via NMR and beyond.",ready,,Worldwide,2020,Goethe University Frankfurt; Deutsche Forschungsgemeinschaft; Volkswagen Foundation,Charitable foundation; Government body; University,Harald Schwalbe,schwalbe@nmr.uni-frankfurt.de,open,10.1002/anie.202205858
