cord_uid,doi,title,data_availability_statement,das_section,das_location
3vxi1k6n,10.1016/j.ijnurstu.2021.104136,Global Prevalence and Associated Risk Factors of Posttraumatic Stress Disorder During COVID-19 Pandemic: A Meta-analysis,"As this study is a meta-analysis of previous data, no new data were generated in support of this research",Data Availability,body_text
f50zll2z,10.1016/j.diabres.2021.109066,Glycaemic control during the lockdown for COVID-19 in adults with type 1 diabetes: A meta-analysis of observational studies,The data that support the findings of this study are available from the corresponding author upon reasonable request.,Data availability statement,body_text
belr7xz4,10.3389/fneur.2020.575634,Long-Term Anticoagulation in Secondary Ischemic Stroke Prevention: The Prospective Multicenter RESTAIC Registry,"The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation.",Data Availability Statement,body_text
say1xyan,10.3389/fcvm.2021.609857,Associations Between the Use of Renin–Angiotensin System Inhibitors and the Risks of Severe COVID-19 and Mortality in COVID-19 Patients With Hypertension: A Meta-Analysis of Observational Studies,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author.",Data Availability Statement,body_text
f8iqjf1s,10.3389/frobt.2021.549360,SIGVerse: A Cloud-Based VR Platform for Research on Multimodal Human-Robot Interaction,"The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation. The source code of the proposed system is available on GitHub https://github.com/SIGVerse.",DATA AVAILABILITY STATEMENT,body_text
w6t89bqo,10.1186/s12985-021-01604-1,Association of dyslipidemia with the severity and mortality of coronavirus disease 2019 (COVID-19): a meta-analysis,The data in the current paper are publicly available since this a meta-analysis conducted on the basis of the cited literature.,Availability of data and materials,back_matter
y32zs4o5,10.3389/fped.2021.695610,Risk Factors and Outcomes of Pulmonary Hypertension in Infants With Bronchopulmonary Dysplasia: A Meta-Analysis,"The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation.",Data Availability Statement,body_text
isv2i8m2,10.1093/nar/gkab1118,ONQUADRO: a database of experimentally determined quadruplex structures,"ONQUADRO is a continuously maintained, weekly self-updating resource available at https://onquadro.cs.put.poznan.pl. No registration or login is required to access the data and take full advantage of the system’s functionality.",DATA AVAILABILITY,body_text
vhz2bzg1,10.1186/s13098-022-00819-8,Acute glycemic variability and risk of mortality in patients with sepsis: a meta-analysis,All data generated or analyzed during this study are included in this published article.,Availability of data and materials,back_matter
zheeqg9d,10.1186/s12885-021-08883-5,Clinicopathological features and prognostic significance of C5aR in human solid tumors: a Meta-analysis,The data that support the findings of this study are available on request from the corresponding author.,Availability of data and materials,body_text
ykf1btsh,10.12688/f1000research.36396.3,Association between convalescent plasma and the risk of mortality among patients with COVID-19: a meta-analysis,"All data underlying the results are available as part of the article and no additional source data are required.
Figshare: PRISMA checklist for ‘Association between convalescent plasma and the risk of mortality among patients with COVID-19: A meta-analysis’,
https://doi.org/10.6084/m9.figshare.13490541.v1.

46
The supplementary file regarding the funnel plot of our study is provided in Figshare (
https://doi.org/10.6084/m9.figshare.14046254.v1).

47
Data are available under the terms of the
Creative Commons Attribution 4.0 International license (CC-BY 4.0).",Underlying data ::: Data availability; Reporting guidelines ::: Data availability; Extended data ::: Data availability,body_text
usyqkglg,10.1016/j.heliyon.2021.e07665,The SARS-CoV-2 receptor angiotensin-converting enzyme 2 (ACE2) in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: a meta-analysis of public DNA methylation and gene expression data,"Data associated with this study has been deposited at NCBI under the accession number GSE59489, GSE93266, GSE111183, GSE156792, GSE153667, GSE14577.",Data Availability Statement ::: Declarations,body_text
gvmve8f2,10.1186/s12859-020-03894-8,A2A: a platform for research in biomedical literature search,"All the datasets used in this work are available through NIST TREC website: https ://trec.nist.gov/data.html. Additionally, all the scripts used for topic processing with example outputs prominent in presented use cases are made available (publicly; to registered users) at: https ://a2a.csiro .au/bench marki ng/resou rces. The A2A tool is available at https ://a2a.csiro .au/ bench marki ng/about . The system requires registration.",Availability of data and materials,back_matter
spax3xnq,10.1186/s12859-021-04500-1,GraphOmics: an interactive platform to explore and integrate multi-omics data,"Datasets for the Zebrafish and Covid-19 case studies were obtained from the original studies and processed into a format suitable for GraphOmics analysis. Processed data is available for download from the GraphOmics repository. Analysis results are available on GraphOmics and can be accessed online. For the Zebrafish data, it is https:// graph omics. glasg owcom pbio. org/ app/ linker/ explo re_ data/5, while for the Covid-19 data, it is https:// graph omics. glasg owcom pbio. org/ app/ linker/ explo re_ data/6.",Availability of data and materials,back_matter
2vt4gjhj,10.1186/s12968-021-00841-1,Myocardial involvement in children with post-COVID multisystem inflammatory syndrome: a cardiovascular magnetic resonance based multicenter international study—the CARDOVID registry,"The datasets generated during and/or analysed during the current study are not publicly available due to legislation about medical data privacy but are available from the corresponding author on reasonable request, in the respect of legal obligations.",Availability of data and materials,back_matter
inkhvif4,10.3389/fpubh.2021.680108,Risk Factors of Mortality From Pneumocystis Pneumonia in Non-HIV Patients: A Meta-Analysis,The original contributions presented in the study are included in the article/supplementary materials. Further inquiries can be directed to the corresponding author.,Data Availability Statement,body_text
