name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_match_type,_matched_to
EMDataResource,,https://www.emdataresource.org,3015,10.25504/FAIRsharing.04fcf5,"Three-dimensional Electron Microscopy (3DEM) has become a key experimental method in structural biology for a broad spectrum of biological specimens from molecules to cells. The EMDataResource project provides a unified portal for deposition, retrieval and analysis of 3DEM density maps, atomic models and associated metadata.",ready,knowledgebase_and_repository,United Kingdom; United States,2007,National Institute of General Medical Sciences; National Institutes of Health,Government body,"Research Collaboratory for Structural Bioinformatics; National Center for Macromolecular Imaging, SLAC national accelerator laboratory; Electron Microscopy Data Bank Team, European Bioinformatics Institute",Lab; Research institute; Consortium,Catherine L. Lawson,cathy.lawson@rutgers.edu,open,open,,,,,,https://www.re3data.org/repository/r3d100010882; https://scicrunch.org/resolver/RRID:SCR_003207,dataset; image; model,Life Science; Virology; Epidemiology; Structural Biology,COVID-19,10.1093/nar/gkv1126,,emdataresource,,emdataresource.org,,
EUI COVID-19 SSH Data Portal,,https://covid19data.eui.eu/,4485,10.25504/FAIRsharing.97367f,"The EUI COVID-19 SSH Data Portal provides integrated search, discovery, and linking to datasets published on the web relevant for COVID-19-related research in the Social Sciences and Humanities. The COVID-19 SSH Data Portal is an initiative of the European University Institute.
FAIRsharing notes : This ressource appears to be insecure. As such, we have changed the statut to ""uncertain"". Please get in touch if you have any information.",uncertain,knowledgebase_and_repository,Italy,2022,European Union (EU),Government body,European University Institute,University,COVID-19 SSH Data Portal,covid-data@eui.eu,open,not applicable,,European University Institute Terms and Conditions of Use; Data Protection at the European University Institute ,https://www.eui.eu/AboutTheWebsite/Disclaimer; https://www.eui.eu/About/DataProtection,,,,document; dataset,Epidemiology; Public Health; Social Science; Humanities and Social Science,COVID-19,,,eui covid-19 ssh data portal,,covid19data.eui.eu,,
EVLncRNAs,EVLncRNAs,https://www.sdklab-biophysics-dzu.net/EVLncRNAs3/,5077,10.25504/FAIRsharing.ee0def,"Long noncoding RNAs (lncRNAs) have emerged as crucial regulators across diverse biological processes and diseases. While high-throughput sequencing has enabled lncRNA discovery, functional characterization remains limited. The EVLncRNAs database is the first and exclusive repository for all experimentally validated functional lncRNAs from various species. After previous releases in 2018 and 2021, this update marks a major expansion through exhaustive manual curation of nearly 25,000 publications from May 15, 2020, to May 15, 2023. It incorporates substantial growth across all categories: a 154% increase in functional lncRNAs, 160% in associated diseases, 186% in lncRNA-disease associations, 235% in interactions, 138% in structures, 234% in circular RNAs, 235% in resistant lncRNAs, and 4724% in exosomal lncRNAs. More importantly, it incorporated additional information include functional classifications, detailed interaction pathways, homologous lncRNAs, lncRNA locations, COVID-19, and phase-separation and organoid-related lncRNAs. The web interface was substantially improved for browsing, visualization, and searching. ChatGPT was tested for information extraction and functional overview with its limitation noted. EVLncRNAs 3.0 represents the most extensive curated resource of experimentally validated functional lncRNAs and will serve as an indispensable platform for unravelling emerging lncRNA functions. The updated database is freely available at https://www.sdklab-biophysics-dzu.net/EVLncRNAs3/.",ready,knowledgebase,China,2023,,,,,,,open,open,,,,,,,dataset,Life Science; Biomedical Science,,10.1093/nar/gkaa1076; 10.1093/nar/gkx677,,evlncrnas,evlncrnas,sdklab-biophysics-dzu.net,,
Ensembl,,http://www.ensembl.org/,1867,10.25504/FAIRsharing.fx0mw7,"Ensembl creates, integrates and distributes reference datasets and analysis tools that enable genomics. Ensembl is a genome browser that supports research in comparative genomics, evolution, sequence variation and transcriptional regulation. Ensembl annotate genes, computes multiple alignments, predicts regulatory function and collects disease data.",ready,repository,Austria; Belgium; Croatia; Czech Republic; Denmark; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Israel; Italy; Lithuania; Luxembourg; Malta; Montenegro; Netherlands; Norway; Portugal; Slovakia; Spain; Sweden; Switzerland; United Kingdom,1999,"European Commission FP7; The Wellcome Trust, UK",Government body; Charitable foundation,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, UK",Research institute,Help Desk,helpdesk@ensembl.org,open,open,,EMBL-EBI Terms of Use; Ensembl Legal Disclaimer,http://www.ebi.ac.uk/about/terms-of-use; https://www.ensembl.org/info/about/legal/disclaimer.html,,,https://www.re3data.org/repository/r3d100010228; https://scicrunch.org/resolver/RRID:SCR_002344,dataset,Comparative Genomics; Biomedical Science; Genomics,COVID-19,10.1093/bioinformatics/btu613; 10.1186/s13059-016-0974-4; 10.1101/gr.137901.112; 10.1101/gr.1863004; 10.1101/gr.1857204; 10.1101/gr.135350.111; 10.1002/0471142905.hg0611s69; 10.1016/j.tig.2004.04.002; 10.1093/database/bar030; doi:10.1093/nar/gku1010; 10.1093/nar/gkj133; 10.1093/nar/gkt1196; 10.1093/database/bav119; 10.1093/database/baw093; 10.1186/1471-2164-11-295; 10.1093/bfgp/elm025; 10.1093/nar/gkq1064; 10.1093/nar/gkr991; 10.1093/nar/gks1236; 10.1093/database/bav127; 10.1093/database/baw053; 10.1101/gr.1866304; 10.1093/nar/gki138; 10.1101/gr.1862204; 10.1186/s13059-015-0621-5; 10.1093/bioinformatics/btt737; 10.1093/nar/gkw1104; 10.1038/ng0806-853a; 10.1093/nar/gkv1157; 10.1101/gr.076521.108; 10.1093/nar/gkm988; 10.1186/1471-2164-11-293; 10.1093/nar/gkg083; 10.1101/gr.073585.107; 10.1186/1471-2105-11-238; 10.1093/nar/30.1.38; 10.1093/nar/gkl996; 10.1093/bioinformatics/btq330; 10.1093/nar/gkn828; 10.1093/nar/gkp972; 10.1093/database/bav096; 10.1101/gr.1859804; 10.1101/gr.1858004; 10.1093/nar/gky1113; 10.1093/nar/gkz966; 10.1186/1471-2105-11-240; 10.1093/nar/gkab1049; 10.1093/nar/gkac958,,ensembl,,ensembl.org,,
Ensembl Genomes,Ensembl Genomes,https://ensemblgenomes.org/,2386,10.25504/FAIRsharing.923a0p,"The Ensembl genome annotation system, developed jointly by EMBL-EBI and the Wellcome Trust Sanger Institute, has been used for the annotation, analysis and display of vertebrate genomes since 2000. Since 2009, the Ensembl site has been complemented by the creation of five new sites, for bacteria, protists, fungi, plants and invertebrate metazoa, enabling users to use a single collection of (interactive and programatic) interfaces for accessing and comparing genome-scale data from species of scientific interest from across the taxonomy.",ready,repository,Austria; Belgium; Croatia; Czech Republic; Denmark; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Israel; Italy; Lithuania; Luxembourg; Malta; Montenegro; Netherlands; Norway; Portugal; Slovakia; Spain; Sweden; Switzerland; United Kingdom,2008,"European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Bill and Melinda Gates Foundation, Seattle, Washington, USA; National Science Foundation (NSF), USA; European Commission FP7; The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK",Government body; Charitable foundation; Research institute,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK",Research institute,Helpdesk,helpdesk@ensembl.org,open,not found,,Apache License 2.0; EMBL-EBI Terms of Use,http://www.apache.org/licenses/LICENSE-2.0; http://www.ebi.ac.uk/about/terms-of-use,,,https://www.re3data.org/repository/r3d100011197; https://scicrunch.org/resolver/RRID:SCR_006773,dataset,Comparative Genomics,COVID-19,10.1093/nar/gkz890; 10.1093/nar/gkv1209,,ensembl genomes,ensembl genomes,ensemblgenomes.org,,
European Centre for Disease Prevention and Control,ECDC,https://www.ecdc.europa.eu/en,2950,10.25504/FAIRsharing.7ceb60,"ECDC's main role as an agency of the European Union is to strengthen Europe’s defences against communicable diseases, worked together with all EU/EEA countries in response to public health threats and emerging diseases. Part of the ECDC mission is to provide search for, collect, collate, evaluate and disseminate relevant scientific and technical data.",ready,repository,European Union,2016,,,European Union (EU),Government body,Andrea Ammon,Andrea.Ammon@ecdc.eu.int,open,not found,,European Centre for Disease Prevention and Control Legal Notice,https://www.ecdc.europa.eu/en/legal-notice,,,https://www.re3data.org/repository/r3d100013304,multimedia; document; publication; dataset; image; physical object/material,Virology; Epidemiology; Health Science; Humanities and Social Science,COVID-19,,,european centre for disease prevention and control,ecdc,ecdc.europa.eu,,
European Data Portal,EDP,https://www.europeandataportal.eu/en,2940,,The European Data Portal harvests the metadata of Public Sector Information available on public data portals across European countries. Information regarding the provision of data and the benefits of re-using data is also included.,ready,repository,European Union,2014,European Union (EU),Government body,Publications Office of the European Union,Government body,,,open,controlled,,,,,,https://www.re3data.org/repository/r3d100012199,dataset,Virology; Epidemiology; Health Science; Humanities and Social Science; Economic and Social History; Subject Agnostic,COVID-19,,,european data portal,edp,europeandataportal.eu,,
European Mouse Mutant Archive,EMMA,https://www.infrafrontier.eu/emma/,1935,10.25504/FAIRsharing.g2fjt2,"The European Mouse Mutant Archive – EMMA is the INFRAFRONTIER’s non-profit repository for the collection, archiving (via cryopreservation) and distribution of relevant mutant mouse and rat strains essential for basic biomedical research. The laboratory mouse is the most important mammalian model for studying genetic and multi-factorial diseases in human beings. The comprehensive physical and data resources of EMMA support basic biomedical and preclinical research, and the available research tools and mouse/rat models of human disease offer the opportunity to develop a better understanding of molecular disease mechanisms and may provide the foundation for the development of diagnostic, prognostic and therapeutic strategies. ",ready,repository,European Union,2009,BY-COVID (BeYond COVID) Project; European Joint Programme on Rare Diseases; European Commission Horizon 2020; European Commission Horizon 2020; EOSC-Life; European Commission FP7; European Commission Horizon 2020,Government body; Consortium,"INFRAFRONTIER Research Infrastructure, INFRAFRONTIER",Government body,General Enquiries,emma@infrafrontier.eu,partially open,controlled,,EMMA repository conditions,https://www.infrafrontier.eu/procedures/legal-issues/emma-repository-conditions-and-mtas,,,https://www.re3data.org/repository/r3d100013578; https://scicrunch.org/resolver/RRID:SCR_006136,dataset,Life Science; Virology; Computational Biology; Genetics,COVID-19; Mutants,10.1093/bfgp/elm018; 10.1093/nar/gkp799; 10.1007/s00335-016-9642-y; 10.1093/nar/gku1193; 10.1007/s00335-025-10174-4,,european mouse mutant archive,emma,infrafrontier.eu,,
Facebook Data for Good,,https://dataforgood.fb.com/,2941,10.25504/FAIRsharing.355cdf,"Through our Data for Good partnerships, Facebook works with many of the world's leading humanitarian organizations to help them act more quickly and reach more people during natural disasters and disease outbreaks data for disaster response, health, connectivity, energy access, and economic growth.",ready,knowledgebase,United States,2017,,,"Humanitarian OpenStreetMap Team (HOT); Internal Displacement Monitoring Centre (IDMC); NetHope, Fairfax, VA, United States; Facebook, Menlo Park, California, United State; Chapman University, Orange, CA, United States; Harvard T.H. Chan School of Public Health, Boston, MA, United States; Direct Relief, Santa Barbara, CA, United States; NAPSG Foundation, Washington, DC, United States",Company; Charitable foundation; Research institute; University,,press@fb.com,controlled,not applicable,,,,,,https://www.re3data.org/repository/r3d100013305,dataset; image,Virology; Demographics; Epidemiology; Social Science,COVID-19; Dashboard,,,facebook data for good,,dataforgood.fb.com,,
GHDDI Info Sharing Portal,,https://ghddi-ailab.github.io/Targeting2019-nCoV/,3017,10.25504/FAIRsharing.f34b51,"GHDDI Info Sharing Portal is the public information sharing portal and data repository for the drug discovery community, initiated by GHDDI. We are making our drug discovery capabilities and resources available at no cost to all researchers who are developing new treatments for COVID-19.",ready,repository,China,2020,,,"Global Health Drug Discovery Institute (GHDI), Beijing, China",Research institute,,,open,open,,GHDDI Info Sharing Portal Disclaimer,https://ghddi-ailab.github.io/Targeting2019-nCoV/,,,,document; dataset; image,Virology; Drug Discovery; Biomedical Science; Clinical Studies; Epidemiology,COVID-19,,,ghddi info sharing portal,,ghddi-ailab.github.io,,
Genomics England | PanelApp,PanelApp,https://panelapp.genomicsengland.co.uk/,2275,10.25504/FAIRsharing.yfk4w2,"Genomics England PanelApp is a publically-available knowledgebase that allows virtual gene panels related to human disorders to be created, stored and queried. It includes a crowdsourcing tool that allows genes to be added or reviewed by experts throughout the worldwide scientific community, providing an opportunity for the standardisation of gene panels, and a consensus on which genes have sufficient evidence for disease association. The diagnostic grade ‘Green’ genes and their modes of inheritance in the Version 1+ PanelApp virtual gene panels are used to direct the variant tiering process for the interpretation of genomes in the 100,000 Genomes Project and for the National Health Service England Genomic Medicine Service. As panels in PanelApp are publically available, they can also be utilised by others. Experts are asked to register (https://panelapp.genomicsengland.co.uk/accounts/registration/) in order to review and rate the genes on the panel to indicate whether there is a diagnostic-grade level of evidence for the gene to be implicated in a given disease. Bioinformaticians can access the data via the PanelApp API (https://panelapp.genomicsengland.co.uk/#!API). More detailed background information, instructions and updates can be found on the PanelApp homepage tabs.",ready,repository,United Kingdom,2015,,,"Genomics England, London, UK",Company,PanelApp team,panelapp@genomicsengland.co.uk,open,open,,PanelApp Terms of Use,https://panelapp.genomicsengland.co.uk/media/files/GEL_-_PanelApp_Terms_of_Use_December_2019.pdf,,,,dataset,Life Science; Virology; Epidemiology; Genomics,COVID-19,10.1038/s41588-019-0528-2,,genomics england | panelapp,panelapp,panelapp.genomicsengland.co.uk,,
Humanitarian Data Exchange,HDX,https://data.humdata.org/,2942,10.25504/FAIRsharing.81c0a5,The Humanitarian Data Exchange (HDX) is an open platform for sharing data across crises and organisations. HDX was created to make humanitarian data easy to find and use for analysis.,ready,repository,Worldwide,2014,,,"Humanitarian Exchange Language (HXL); Centre for Humanitarian Data, United Nations Office for the Coordination of Humanitarian Affairs (OCHA)",Research institute; Consortium,General contact,hdx@un.org,open,open,,Creative Commons Attribution 3.0 IGO (CC BY 3.0 IGO); Creative Commons Attribution 4.0 International (CC BY 4.0); Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0); Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; HDX Data Licences; Open Data Commons Attribution License (ODC-BY) v1.0; Open Data Commons Public Domain Dedication & License (PDDL) v1.0; Open Data Commons Open Database License (ODC ODbL) v1.0,https://creativecommons.org/licenses/by/3.0/igo/; https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/licenses/by-sa/4.0/; https://creativecommons.org/publicdomain/zero/1.0/; https://data.humdata.org/about/license; http://opendatacommons.org/licenses/by/1.0/; http://opendatacommons.org/licenses/pddl/1.0/; http://opendatacommons.org/licenses/odbl/1.0/,,,https://www.re3data.org/repository/r3d100013193,dataset,Virology; Epidemiology; Earth Science; Humanities and Social Science,COVID-19; Humanitarian Studies,,,humanitarian data exchange,hdx,data.humdata.org,,
IUPHAR/BPS Guide to PHARMACOLOGY,Guide to Pharmacology,https://www.guidetopharmacology.org,1933,10.25504/FAIRsharing.f1dv0,"The information in the database is presented at two levels: the initial view or landing pages for each target family provide expert-curated overviews of the key properties and selective ligands and tool compounds available. For selected targets more detailed introductory chapters for each family are available along with curated information on the pharmacological, physiological, structural, genetic and pathophysiogical properties of each target. Recent extensions to the database provide specific portals for accessing data on immunopharmacology (IUPHAR Guide to IMMUNOPHARMACOLOGY; www.guidetoimmunopharmacology.org), and on malaria pharmacology (IUPHAR/MMV Guide to MALARIA PHARMACOLOGY; www.guidetomalariapharmacology.org). The database is enhanced with hyperlinks to additional information in other databases including Ensembl, UniProt, PubChem and ChEMBL, as well as curated chemical information and literature citations in PubMed.",ready,knowledgebase,United Kingdom,2011,"British Pharmacological Society; The Wellcome Trust, UK",Charitable foundation,International Union of Basic and Clinical Pharmacology,Consortium,Jamie Davies; Simon Harding,jamie.davies@ed.ac.uk; simon.harding@igmm.ed.ac.uk,open,not applicable,,Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0); IUPHAR/BPS Guide to PHARMACOLOGY Attribution required,https://creativecommons.org/licenses/by-sa/4.0/; https://www.guidetopharmacology.org/citing.jsp,,,https://www.re3data.org/repository/r3d100013308,dataset; image; model,Life Science; Pharmacology; Immunology,COVID-19,10.1093/nar/gkv1037; 10.1093/nar/gkz951; 10.1093/nar/gkt1143; 10.1093/nar/gkx1121; 10.1093/nar/gkab1010,,iuphar/bps guide to pharmacology,guide to pharmacology,guidetopharmacology.org,,
Integrated Resource for Reproducibility in Macromolecular Crystallography,IRRMC,https://proteindiffraction.org,2554,10.25504/FAIRsharing.kqbg3s,"The Integrated Resource for Reproducibility in Macromolecular Crystallography (IRRMC) was created to make the raw data of protein crystallography more widely available. The IRRMC identifies, catalogs and provides metadata related to datasets that could be used to reprocess the original diffraction data. The intent of this project is to make the resulting three-dimensional structures more reproducible and easier to modify and improve as processing methods advance.",ready,repository,United States,2015,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"Minor Lab at the University of Virginia, USA",Lab,Wladek Minor Lab,support@protein.diffraction.org,open,open,,Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100012269,dataset; image; model,Life Science,COVID-19,10.1063/1.5128672; 10.1107/S2059798316014716,,integrated resource for reproducibility in macromolecular crystallography,irrmc,proteindiffraction.org,,
Johns Hopkins Coronavirus Resource,,https://coronavirus.jhu.edu/map.html,2923,10.25504/FAIRsharing.5824e1,"The Johns Hopkins Coronavirus Resource Center was first shared publicly on January 22nd 2020 to provide researchers, public health authorities, and the general public with a user-friendly tool to track the outbreak as it unfolds.",deprecated,knowledgebase,United States,2020,,,"Department of Civil and Systems engineering, John Hopkins University, Baltimore, USA",University,,COVID19map@jhu.edu,partially open,not applicable,"March 10, 2023, the Johns Hopkins Coronavirus Resource Center ceased its collecting and reporting of global COVID-19 data",,,,,https://www.re3data.org/repository/r3d100013268,multimedia; document; dataset; image,Virology; Epidemiology,COVID-19; Dashboard,,,johns hopkins coronavirus resource,,coronavirus.jhu.edu,,
KnetMiner,KnetMiner,https://knetminer.com,3618,10.25504/FAIRsharing.826b4a,"KnetMiner is a knowledge platform for genes, traits, diseases and their interactions across species. We integrate a range of open-access data, transform into a knowledge graph and augment with new text-mined relationships. Free KnetMiner resources include Arabidopsis, wheat, rice and COVID-19 (publicly funded). Many other species specific datasets can be subscribed to for a fee. In addition to web-based access, the knowledge graphs can also be accessed programmatically through RDF-SPARQL and Neo4j-Cypher endpoints.",ready,knowledgebase,United Kingdom,2015,"Biotechnology and Biological Sciences Research Council (BBSRC), UK",Government body,,,Keywan Hassani-Pak,pakk@rothamsted.ac.uk,controlled,not applicable,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0),https://creativecommons.org/licenses/by-nc-nd/4.0/,,,,dataset; image; model,Life Science; Knowledge and Information Systems; Bioinformatics; Genomics,,10.1111/pbi.13583,,knetminer,knetminer,knetminer.com,,
Kyoto Encyclopedia of Genes and Genomes,KEGG,https://www.genome.jp/kegg/,2189,10.25504/FAIRsharing.327nbg,"KEGG is a database resource for understanding high-level functions and utilities of the biological system, such as the cell, the organism and the ecosystem, from molecular-level information, especially large-scale molecular datasets generated by genome sequencing and other high-throughput experimental technologies.",ready,knowledgebase_and_repository,Japan,1995,,,"Bioinformatics Center, Institute for Chemical Research, Kyoto University, Kyoto,Japan; Institute of Medical Science, University of Tokyo, Tokyo, Japan; Kanehisa Laboratories, Kyoto, Japan",Lab; University,Minoru Kanehisa,kanehisa@kuicr.kyoto-u.ac.jp,open,not applicable,,KEGG Disclaimer,https://www.kegg.jp/kegg/legal.html,,,https://www.re3data.org/repository/r3d100011570; https://scicrunch.org/resolver/RRID:SCR_001120; http://purl.obolibrary.org/obo/MI_0470,dataset; model,Life Science; Virology; Systems Biology; Molecular biology; Metabolomics; Transcriptomics; Epidemiology; Proteomics; Genomics,COVID-19,10.1093/nar/gkt1076; 10.1002/0471250953.bi0112s38; 10.1093/nar/gkr988,,kyoto encyclopedia of genes and genomes,kegg,genome.jp,,
Lens ,,https://www.lens.org/,2962,10.25504/FAIRsharing.4ff837,"The Lens is building an interactive tool for understanding the landscape of patent and research works in any domain, including human coronaviruses and COVID-19.",ready,knowledgebase,Australia,2020,"Rockefeller Foundation, New-York, NY, USA",Charitable foundation,,,General contact,support@lens.org,partially open,controlled,,Lens Terms of Use; Lens Individual Commercial Use Agreement,https://about.lens.org/policies/#termsuse; https://about.lens.org/individual-commercial-use/,,,https://www.re3data.org/repository/r3d100013309,publication; dataset,Virology; Biomedical Science; Epidemiology,COVID-19,,,lens,,lens.org,,
Mouse Genome Database - a Mouse Genome Informatics (MGI) Resource,MGI,http://www.informatics.jax.org/,1955,10.25504/FAIRsharing.fcwyhz,"MGI is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease. Data includes gene characterization, nomenclature, mapping, gene homologies among mammals, sequence links, phenotypes, allelic variants and mutants, and strain data.",ready,knowledgebase_and_repository,United States,1994,"National Human Genome Research Institute (NHGRI), Bethesda, MD, USA",Government body,Mouse Genome Informatics (MGI),Consortium,MGI User Support,mgi-help@jax.org,open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0); MGI Warranty Disclaimer and Copyright Notice,https://creativecommons.org/licenses/by/4.0/; http://www.informatics.jax.org/mgihome/other/copyright.shtml,,,https://www.re3data.org/repository/r3d100010266; https://scicrunch.org/resolver/RRID:SCR_006460,dataset; other object type,Biology; Animal Genetics; Genomics,Chromosomal element nomenclature; COVID-19,10.1093/nar/gkt1225; 10.1093/nar/gks1115; 10.1007/978-1-4939-6427-7_3; 10.1093/ilar/ilx013; 10.1093/nar/gkr974; 10.1093/nar/gkw1040; 10.1126/science.8091224; 10.1093/nar/gki113; 10.1093/nar/gky922; 10.1093/nar/gky1056,,mouse genome database - a mouse genome informatics (mgi) resource,mgi,informatics.jax.org,,
Multi-year Long COVID study,,https://en.c-support.nu/data-aanvraag-meerjarig-long-covid-onderzoek/,6804,10.25504/FAIRsharing.c3a583,"In February 2022, C-support, together with Erasmus MC, started a large-scale multi-year study into Long COVID. People who had been registered with C-support up to January 2022 with long-term symptoms after a COVID-19 infection and who completed the 1th questionnaire are invited annually for an extensive questionnaire. So far there have been three rounds of questionnaires: more than 11.000 people have completed the 1th questionnaire and approximately 8.000 people completed the 2nd and/or 3rd questionnaire.

An overview of the topics per questionnaire and more information is available on our website: https://en.c-support.nu/data-aanvraag-meerjarig-long-covid-onderzoek/

You can request a portion of this data to use for your own research or analyses. We can also perform analyses for you, such as creating customized summary tables and/or graphs.

About C-support: C-support supports people with long-term symptoms after COVID-19 or a COVID-19 vaccination. In addition, C-support shares knowledge with (healthcare) professionals and promotes research, for example by making data available.",ready,repository,Netherlands,2022,,,C-support,Charitable foundation,C-support,onderwijsenonderzoek@q-support.nu,controlled,not found,,C-support licence,https://en.c-support.nu/data-aanvragen/,,,,questionnaire/survey,Health Services Research; Public Health; Health Science; Primary Health Care; Social Medicine; Social Psychology; Community Care,COVID-19,10.1186/s12913-024-11488-w; 10.3389/fepid.2023.1144707; 10.1017/S0950268823001139,,multi-year long covid study,,en.c-support.nu,,
National Center for Advancing Translational Sciences COVID-19 OpenData Portal,NCATS OpenData Portal,https://opendata.ncats.nih.gov/covid19/,4159,10.25504/FAIRsharing.279381,"National Center for Advancing Translational Sciences (NCATS) OpenData Portal development aims to share COVID-19-related drug repurposing data and experiments for all approved drugs. The NCATS OpenData COVID-19 portal is a resource designed for rapid and open sharing of SARS-CoV-2 screening data and assay information for the global health community, measuring over 10,000 compound related assays including the NCATS Pharmaceutical Collection of nearly 3,000 approved drugs. This research was supported by the National Center for Advancing Translational Sciences (NCATS) Intramural Research Program of the NIH, aimed to enable researchers with the resources needed to formulate and test hypotheses, prioritize research opportunities, and efficiently search for effective therapies against viral and disease exposures. ",ready,knowledgebase_and_repository,United States,2020,National Center for Advancing Translational Sciences,Research institute,National Center for Advancing Translational Sciences,Research institute,Matt Hall,hallma@mail.nih.gov,open,not applicable,,Creative Commons Attribution 4.0 International (CC BY 4.0); NCATS Privacy Policy,https://creativecommons.org/licenses/by/4.0/; https://ncats.nih.gov/privacy,,,,dataset,Virology; Medical Toxicology; data visualization; Medical Virology,COVID-19,10.1101/2020.06.04.135046v1; 10.1016/j.drudis.2019.09.019; 10.1126/scitranslmed.3001862,,national center for advancing translational sciences covid-19 opendata portal,ncats opendata portal,opendata.ncats.nih.gov,,
National Microbiology Data Center,NMDC,https://nmdc.cn/en,5187,10.25504/FAIRsharing.ab597d,"II.	National Microbiology Science Data Center(NMDC) was established in 2019 by the Institute of Microbiology, Chinese Academy of Sciences. The total amount of NMDC data resources exceeds 6PB, and the number of data records exceeds 5.2 billion, covering the whole life cycle of microbial research, including microbial resources, microbial and cross-technology methods, research process and engineering, microbiomics, microbial technology, microbial literature, patents, experts, and achievements. NMDC builds a systematic and comprehensive national microbial big data system through the construction of a series of key databases, covering global microbial strains classification and research, pathogenic microorganisms, microbiomes, and fungi, and provides information services and communication platforms for microbiology-related workers around the world. During the COVID-19 epidemic, NMDC developed Novel Coronavirus National Science and Technology Resource Service System, established a global scientific data release and sharing platform in the first time, and developed New Coronavirus Variation Evaluation and Early Warning System (VarEPS), which is the first system in the world to provide multi-dimensional risk assessment and early warning for known and virtual variants in the SARS-CoV-2 genome. Based on World Data Center for Microorganisms (WMDC) as a platform, NMDC advocated the Global Catalogue of Microorganisms (GCM) and Global Microbial Type Strain Genome and Microbiome Sequencing Project (GCM 2.0), which has effectively promoted the sharing and utilization of global microbial resources.",ready,knowledgebase_and_repository,China,2019,,,"Institute of Microbiology of the Chinese Academy of Sciences (IMCAS), Beijing, China",Government body,Juncai Ma; Linhuan Wu; Qinglan Sun; Guomei Fan,ma@im.ac.cn; wulh@im.ac.cn; sunql@im.ac.cn; gmfan@im.ac.cn,open,open,,,,,,https://www.re3data.org/repository/r3d100013747,dataset,Genetics; Microbiology; Bioinformatics; Applied Microbiology,,,,national microbiology data center,nmdc,nmdc.cn,,
Novartis Clinical Trial Results Database,,https://www.novartis.com/ca-en/healthcare-professionals/novartis-clinical-trials,2961,10.25504/FAIRsharing.58ee0e,Novartis launched the results website in 2005 becoming one of the first companies to publically post results from Phase 2b-4 interventional trials. The Novartis position evolved over time to include public disclosure of results from Phase 1- 2a interventional trials in patients.,ready,repository,France; Switzerland,2005,,,Novartis,Company,General contact,icm.phfr@novartis.com,open,not applicable,,Novartis Terms of Use; Novartis Privacy Policy,https://www.novartis.com/ca-en/terms-use; https://www.novartis.com/ca-en/privacy-policy,,,https://www.re3data.org/repository/r3d100013312,dataset,Virology; Biomedical Science; Clinical Studies; Epidemiology,COVID-19,,,novartis clinical trial results database,,novartis.com,,
