name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_is_duplicate,_match_type,_matched_to,filter_approach
GISAID EpiCoV™ Database,,https://db.cngb.org/gisaid/,2938,10.25504/FAIRsharing.ba6a09,"China National GeneBank DataBase (CNGBdb) is an official partner of the GISAID Initiative. It provides access to EpiCoV and features the most complete collection of hCoV-19 genome sequences along with related clinical and epidemiological data. With the data from this database scientific researchers can construct a virus phylogenetic tree to reveal the characteristics of the pathogen, and provide effective references for the study and analysis of the evolutionary source and pathological mechanism of the novel coronavirus.",ready,repository,China,2020,,,"China National GeneBank, Shenzhen, China",Government body,General contact,CNGBdb@cngb.org,open,not found,,GISAID Terms of Use,https://www.gisaid.org/registration/terms-of-use/,,,,document; dataset,Life Science; Virology; Phylogenetics; Epidemiology,COVID-19,,,gisaid epicov™ database,,db.cngb.org,True,url,China National GeneBank DataBase,keyword
Genome Warehouse,GWH,https://ngdc.cncb.ac.cn/gwh,2905,10.25504/FAIRsharing.7qBaJ0,"The Genome Warehouse (GWH) is a public archival resource housing genome-scale data for a wide range of species. GWH accepts full genomes of eukaryotes and prokaryotes as well as metagenomes. For each collected genome assembly, GWH incorporates descriptive information including biological sample metadata, genome assembly metadata, sequence data and genome annotation, and offers standardized quality control for genome sequence and annotation.",ready,repository,China,2016,,,"National Genomics Data Center (BIG Data Center), Beijing Institute of Genomics, Chinese Academy of Sciences, Bejing, China",Research institute,GWH curator,gwhcuration@big.ac.cn,open,open,,Creative Commons Attribution 3.0 China Mainland  (CC BY 3.0 CN),https://creativecommons.org/licenses/by/3.0/cn/,,,https://www.re3data.org/repository/r3d100013428,dataset,Virology; Microbiology; Genomics,COVID-19,10.1093/gpbjnl/qzaf010; 10.1016/j.gpb.2021.04.001,,genome warehouse,gwh,ngdc.cncb.ac.cn,True,url,China National Center for Bioinformation - National Genomics Data Center,keyword
Global Registry of COVID-19 in Pediatric Cancer,,https://global.stjude.org/en-us/global-covid-19-observatory-and-resource-center-for-childhood-cancer/registry.html,4068,10.25504/FAIRsharing.9c72d7,"The Global COVID-19 Observatory and Resource Center for Childhood Cancer is for health care professionals focused on pediatric cancer. The resource provides a way for providers to collaborate, connect and find the latest information on COVID-19 as it relates to childhood cancer.  
",ready,repository,United States,2022,,,St. Jude Children's Research Hospital,Research institute,,,controlled,open,,St. Jude Global Alliance Online Community Terms and Conditions,https://global.stjude.org/en-us/terms-conditions.html,,,,questionnaire/survey; dataset; image,Pediatrics; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,,,global registry of covid-19 in pediatric cancer,,global.stjude.org,True,url,Global Registry of COVID-19 in Pediatric Cancer,keyword
Global.health,,https://global.health/,4387,10.25504/FAIRsharing.d11b62,"Global.health is the first of its kind, easy-to-use global repository and visualization platform that enables open access to real-time de-identified epidemiological line-list case data. Data about Covid-19, ebola and Monkeypox are available.",ready,repository,South Africa; United Kingdom; United States,2020,"Google (United States); Oxford Martin School; Rockefeller Foundation, New-York, NY, USA",Company; Charitable foundation; Research institute,,,,,controlled,controlled,,Global.health Terms of Use; Global.health Privacy Policy,https://global.health/terms-of-use/; https://global.health/privacy/,,,,document; publication; dataset; image,Epidemiology; Medical Virology,COVID-19; monkeypox,,,global.health,,global.health,True,exact_name,global.health,keyword
HIV and COVID-19 Registry in Europe,,https://www.neat-id.org/,3280,10.25504/FAIRsharing.rOCqic,"In March the NEAT ID Foundation initiated the development of a simple Data “Dashboard” to monitor the progress of COVID-19 in HIV infected patients across Europe in real time. The Dashboard shows at European and Country level the number of cases reported to NEAT ID with COVID-19 co-infection with HIV, the number of hospitalisations and the number of deaths (from sites who have contributed to date).",deprecated,repository,European Union,2020,,,"NEAT ID Foundation, London, UK",Charitable foundation,General contact,NEAT-ID@NEAT-ID.org,not found,not found,,,,,,,questionnaire/survey,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,,,hiv and covid-19 registry in europe,,neat-id.org,True,url,COVID-19 HCV Co-Infection Data Dashboard,keyword
Health Data Research Innovation Gateway,Innovation Gateway,https://healthdatagateway.org,3296,10.25504/FAIRsharing.nh1DmP,"The Health Data Research Innovation Gateway (the ‘Gateway’) provides a common entry point to discover and enquire about access to UK health datasets for research and innovation. It provides detailed information about the datasets, which are held by members of the UK Health Data Research Alliance, such as a description, size of the population, and the legal basis for access. The Gateway includes the ability to search for research projects, publications and health data tools, such as those related to COVID-19. New interactive features provide a community forum for researchers to collaborate and connect and the ability to add research projects. The Innovation Gateway does not hold or store any datasets or patient or health data but rather acts as a portal to allow discovery of datasets and to request access to them for health research. A dataset is a collection of related individual pieces of data but in the case of health data, identifiable information (e.g. name or NHS number) is removed and data is de-identified where possible. When you access the Gateway you will not be able to view or extract the data itself. Instead, you will be able to see information that describes what the different datasets are (e.g. where the dataset has come from, a description of the dataset, the time period and the geographical areas the dataset covers). In order to access the data, you will need to sign in and then follow the access request process. Only once your request has been through the process to ensure your application meets all of the requirements and is approved by the data controller will you be able to access the data. Your access to the data will be provided outside of the Gateway in line with the processes of the data controller - read through our FAQs for more information on the process. The datasets that are discoverable through the Innovation Gateway are from organisations in the NHS, research institutes and charities, which are part of the UK Health Data Research Alliance. You can find out more about its members on the UK Health Data Research Alliance website. The information provided about the datasets has been provided by the relevant data controller and is continually updated.",ready,knowledgebase,United Kingdom,2020,,,Health Data Research UK,Company,Susheel Varma,susheel.varma@hdruk.ac.uk,controlled,not applicable,,HDR UK Terms and Conditions,https://www.hdruk.ac.uk/infrastructure/gateway/terms-and-conditions/,,,https://www.re3data.org/repository/r3d100013505,document; publication; dataset; software source code; software application,Virology; Respiratory Medicine; Clinical Studies; Health Services Research; Epidemiology; Occupational Medicine; Public Health; Health Science; Genomics; Cardiology; Primary Health Care; Global Health; Reproductive Health; Community Care; Medical Virology,Breast cancer; COVID-19; Dashboard; Metabolic health in adolescents; Non-clinical trial; Pre-clinical imaging; respiratory disease,,,health data research innovation gateway,innovation gateway,healthdatagateway.org,True,url,Health Data Research UK,keyword
Image Data Resource ,IDR,https://idr.openmicroscopy.org,2303,10.25504/FAIRsharing.6wf1zw,"The Image Data Resource (IDR) is a public repository of image datasets from published scientific studies, where the community can submit, search and access high-quality bio-image data. It follows the Euro-BioImaging/ELIXIR imaging strategy using the OMERO and Bio-Formats open source software built by the Open Microscopy Environment. Deployed on an OpenStack cloud running on the EMBL-EBI’s Embassy resource, it includes image data linked to independent studies from genetic, RNAi, chemical, localisation and geographic high content screens, super-resolution microscopy, and digital pathology.",ready,repository,United Kingdom,2015,European Commission Horizon 2020; Biotechnology and Biological Sciences Research Council; EOSC-Life; European Commission Horizon 2020; The Wellcome Trust; Biotechnology and Biological Sciences Research Council,Government body; Charitable foundation; Consortium,"Open Microscopy Environment; University of Dundee, Scotland, UK; Cambridge Systems Biology Centre, University of Cambridge, Cambridge, UK; European Commission FP7",Government body; Lab; University,Josh Moore; Sébastien Besson; General Contact,j.a.moore@dundee.ac.uk; s.besson@dundee.ac.uk; idr@openmicroscopy.org,open,open,Follows EMBL-EBI’s open data mission in the domain of biological images,Creative Commons Attribution 4.0 International (CC BY 4.0); Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0); Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/licenses/by-nc/4.0/; https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100012435; https://scicrunch.org/resolver/RRID:SCR_017421,dataset; image,Life Science; Botany; Biomedical Science,Digital pathology; Plankton,10.1038/nmeth.4326,,image data resource,idr,idr.openmicroscopy.org,True,url,Image Data Resource,keyword
Immunology Database and Analysis Portal,ImmPort,https://immport.org,2186,10.25504/FAIRsharing.bpkzqp,"The Immunology Database and Analysis Portal (ImmPort) data repository was created for the exploration of clinical and basic research data on immunology and associated findings. ImmPort intends to promote effective data sharing across the basic, clinical and translational research communities. It collects data both from clinical and mechanistic studies on human subjects and from immunology studies on model organisms. The ImmPort ecosystem consists of four components: private data, shared data, data analysis, and resources-for data archiving, dissemination, analyses, and reuse.",ready,repository,United States,2007,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",Government body,"University of California, Los Angeles, CA; Northrop Grumman Health IT; National Institutes of Health (NIH), National Institute of Allergy and Infectious Diseases (NIAID), Division of Allergy, Immunology, and Transplantation (DAIT)",Company; Government body; University,Jeff Wiser,jeff.wiser@ngc.com,partially open,controlled,"DAIT, NIAID, NIH Support Funding (duration up to 2027); CoreTrustSeal Compliance Level 3",ImmPort Data Sharing,http://www.immport.org/agreement,,,https://www.re3data.org/repository/r3d100012529; https://scicrunch.org/resolver/RRID:SCR_012804,dataset,Translational Medicine; Preclinical Studies; Biomedical Science; Clinical Studies; Immunology,COVID-19,10.1007/s12026-014-8516-1; 10.1002/cyto.a.22037; 10.1002/cyto.b.20554; 10.1038/sdata.2018.15,,immunology database and analysis portal,immport,immport.org,True,url,The Immunology Database and Analysis Portal,keyword
Infectious Diseases Data Observatory,IDDO,https://www.iddo.org/,2968,10.25504/FAIRsharing.cF5x1V,"The Infectious Diseases Data Observatory (IDDO) assembles clinical, laboratory and epidemiological data on a collaborative platform to be shared with the research and humanitarian communities. The data are analysed to generate reliable evidence and innovative resources that enable research-driven responses to the major challenges of emerging and neglected infections. Data is organized into research themes, with both submitters storing and requesters asking for data via the central IDDO platform. Certain data (listed in data inventories or available via various portals) is available publicly, while the rest must be applied and permission received for.",ready,repository,United Kingdom,2016,"Bill and Melinda Gates Foundation, Seattle, Washington, USA",Charitable foundation,"WorldWide Antimalarial Resistance Network; Infectious Diseases Data Observatory (IDDO), Oxford, UK; Centre for Tropical Medicine and Global Health, Oxford, UK",Research institute,Professor Philippe Guérin,info@iddo.org,controlled,open,,IDDO Data Access; IDDO Privacy Notice; IDDO Terms of Use,https://www.iddo.org/document/iddo-data-access-guidelines; https://www.iddo.org/privacy-notice; https://www.iddo.org/terms-of-use,,,https://www.re3data.org/repository/r3d100013358,dataset,Virology; Biomedical Science; Clinical Studies; Epidemiology; Public Health,Antimicrobial resistance; COVID-19,,,infectious diseases data observatory,iddo,iddo.org,True,url,Infectious Diseases Data Observatory,keyword
IntAct molecular interaction database,IntAct,https://www.ebi.ac.uk/intact/home,1599,10.25504/FAIRsharing.d05nwx,"IntAct provides a freely available, open source database system and analysis tools for protein interaction data. All interactions are derived from literature curation or direct user submissions and are freely available.",ready,knowledgebase_and_repository,Austria; Belgium; Croatia; Czech Republic; Denmark; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Israel; Italy; Lithuania; Luxembourg; Malta; Montenegro; Netherlands; Norway; Portugal; Slovakia; Spain; Sweden; Switzerland; United Kingdom,2003,"National Institute of General Medical Sciences (NIGMS), Bethesda, MD, USA; Biotechnology and Biological Sciences Research Council (BBSRC), UK; National Center for Research Resources (NCRR), National Institutes of Health, Bethesda, MD, USA",Government body,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; Swiss Institute of Bioinformatics (SIB), Switzerland",Research institute,Sandra Orchard,orchard@ebi.ac.uk,open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0); EMBL-EBI Terms of Use,https://creativecommons.org/licenses/by/4.0/; http://www.ebi.ac.uk/about/terms-of-use,,,https://www.re3data.org/repository/r3d100010671; https://scicrunch.org/resolver/RRID:SCR_006944,dataset; image; model,Biology,COVID-19,10.1093/nar/gkh052; 10.1093/nar/gkp878; 10.1186/1741-7007-5-44; 10.1038/nmeth.1637; 10.1093/nar/gkt1115,,intact molecular interaction database,intact,ebi.ac.uk,True,url,European Molecular Biology Laboratory-European Bioinformatics Institute Electron Microscopy Data Bank,keyword
International COVID-19 Data Alliance,ICODA,https://icoda-research.org/,4070,10.25504/FAIRsharing.24ddb8,"Convened by Health Data Research UK, the national institute for health data in the UK, ICODA was an open and inclusive global collaboration of leading life science, philanthropic and research organisations that came together to harness the power of health data to respond to the COVID-19 pandemic. Building on the ICODA programme, HDR UK has now convened the HDR Global programme which seeks to assist with data science skills and enable trustworthy data access, re-use and analysis in regions, communities and disease areas, where evidence to tackle threats to public health is lacking
",deprecated,repository,United Kingdom; Worldwide,2020,"Mastercard (United Kingdom); Bill and Melinda Gates Foundation; Microsoft Corporation; Chan Zuckerberg Initiative, Redwood City, CA, USA; The Wellcome Trust; Minderoo Fundation",Company; Charitable foundation,,,Andrew Morris,andrew.morris@hdruk.ac.uk,controlled,open,,Icoda Terms and Conditions; Icoda Privacy Policy; Icoda Ethics and Governance Framework,https://icoda-research.org/terms-conditions/; https://icoda-research.org/privacy-policy/; https://icoda-research.org/wp-content/uploads/2022/10/ICODA-Ethics-and-Governance-framework-May-2021-v1.1.pdf,,,,object type not found,Clinical Studies; Health Science; Medicine,COVID-19,,,international covid-19 data alliance,icoda,icoda-research.org,True,url,International COVID-19 Data Alliance,keyword
LitCovid,LitCovid,https://www.ncbi.nlm.nih.gov/research/coronavirus/,2924,10.25504/FAIRsharing.a01ca1,"LitCovid is a curated literature hub for tracking up-to-date scientific information about the 2019 novel Coronavirus. It is the most comprehensive resource on the subject, providing a central access to 5645 (and growing) relevant articles in PubMed. The articles are updated daily and are further categorized by different research topics and geographic locations for improved access.",ready,knowledgebase,United States,2020,"National Library of Medicine (NLM), Bethesda, MD, USA; USA.gov",Government body,"NCBI Computational Biology Branch, Bethesda, MD, USA; NLM/NCBI BioNLP Research Group, Bethesda, MD, USA",Lab; Research institute,Zhiyong Lu,Zhiyong.Lu@nih.gov,open,not applicable,not found,NCBI Website and Data Usage Policies and Disclaimers,https://www.ncbi.nlm.nih.gov/home/about/policies/,,,,document; dataset,Life Science; Virology; Biomedical Science; Epidemiology,COVID-19,10.1038/d41586-020-00694-1; 10.1093/nar/gkaa952; 10.1093/nar/gkac1005,,litcovid,litcovid,ncbi.nlm.nih.gov,True,url,National Center for Biotechnology Information - GenBank,keyword
MS Global Data-Sharing Initiative,,https://www.qmenta.com/covid19-patients_ms/,3293,10.25504/FAIRsharing.8F5DRF,"The Multiple Sclerosis International Federation (MSIF) and the Multiple Sclerosis Data Alliance (MSDA) have teamed up to form a Global Data Sharing Initiative to achieve insights on the effect of COVID-19 in people with MS as fast as possible, with the intent to steer clinical decision-making during the pandemic.",deprecated,repository,Worldwide,2020,,,"Multiple Sclerosis (MS) Data Alliance; QMENTA, Boston, MA, USA; Multiple Sclerosis International Federation, London, UK",Company; Charitable foundation; Consortium,Ariadna Torrens,ariadna.torrens@qmenta.com,not found,not found,,QMENTA Data Policy; QMENTA Privacy Policy; QMENTA Terms of Service,https://www.qmenta.com/data-policy/; https://www.qmenta.com/privacy-policy/; https://www.qmenta.com/terms-of-service/,,,,questionnaire/survey,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Multiple Sclerosis; Observations,,,ms global data-sharing initiative,,qmenta.com,True,url,QMENTA imaging database,keyword
McMaster Multi-Regional Hospital Coronavirus Registry,COREG,https://www.coregontario.ca/,4064,10.25504/FAIRsharing.0590c7,"The Coronavirus (COVID-19) Registry (COREG) is a comprehensive registry platform that facilitates uniform data collection of patients both tested for COVID-19 and those admitted with suspected or confirmed COVID-19.  It is an extension of the ISARIC-WHO case report form (CRF) to capture information of local importance to understand spread, disease course, and comparative outcomes.
",deprecated,repository,Canada,2020,Canadian Institutes of Health Research; Hamilton Academic Health Sciences Organization,Government body; Research institute,McMaster University,University,General contact; Catalina Lopez-Correa,info@coregontario.ca; clopez@genomecanada.ca,controlled,controlled,,,,,,,questionnaire/survey,Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,10.1007/s11739-021-02637-8,,mcmaster multi-regional hospital coronavirus registry,coreg,coregontario.ca,True,url,McMaster Multi-Regional Hospital Coronavirus Registry,keyword
Medical Imaging and Data Resource Center,MIDRC,https://www.midrc.org/,4081,10.25504/FAIRsharing.33dccb,"Representatives of the American College of Radiology® (ACR®), the Radiological Society of North America (RSNA), and the American Association of Physicists in Medicine (AAPM) have jointly developed the  Medical Imaging and Data Resource Center (MIDRC) for rapid and flexible collection, artificial intelligence analysis, and dissemination of imaging and associated data. MIDRC is hosted at the University of Chicago. 
",ready,repository,United States,2021,National Institute of Biomedical Imaging and Bioengineering,Undefined,,,Maryellen L. Giger,l332@uchicago.edu,open,open,,MIDRC Data access and contributions; MIDRC data use agreement ,https://www.midrc.org/faqs; https://www.midrc.org/midrc-data-use-agreement,,,https://www.re3data.org/repository/r3d100014283,dataset; image,Clinical Studies; Medicine,COVID-19; Observations,10.1016/S2589-7500(22)00063-2,,medical imaging and data resource center,midrc,midrc.org,True,url,Medical Imaging and Data Resource Center,keyword
NCBI Genetic Sequence Database,GenBank,https://www.ncbi.nlm.nih.gov/genbank/,1547,10.25504/FAIRsharing.9kahy4,"GenBank ® is the NIH genetic sequence database of annotated collections of all publicly available DNA sequences. GenBank is part of an International Nucleotide Sequence Database Collaboration, which comprises the DNA DataBank of Japan (DDBJ), the European Nucleotide Archive (ENA), and GenBank at NCBI. The GenBank database is designed to provide and encourage access within the scientific community to the most up-to-date and comprehensive DNA sequence information, and release available versioned collections every two months from the ftp site. As part of the International Nucleotide Sequence Database Collaboration (INSDC), a long-standing foundational initiative (operating between DDBJ, EMBL-EBI and NCBI), the INSDC covers the spectrum of data raw reads, through alignments and assemblies to functional annotation, enriched with contextual information relating to samples and experimental configurations. GenBank data submission types include:  mRNA sequences, Prokaryotic genes, Eukaryotic genes, rRNA and/or ITS, viral sequences, transposon or insertion sequences, microsatellite sequences, pseudogenes, cloning vectors, phylogenetic or population sets, and non-coding RNAs.
",ready,repository,Japan; United States; European Union,1982,National Institutes of Health,Government body,National Center for Biotechnology Information,Government body,NCBI Helpdesk,info@ncbi.nlm.nih.gov,open,open,,NCBI Website and Data Usage Policies and Disclaimers; Nucleotide Sequence Database Policies,https://www.ncbi.nlm.nih.gov/home/about/policies/; https://www.insdc.org/policy/,,,https://www.re3data.org/repository/r3d100010528; https://scicrunch.org/resolver/RRID:SCR_002760,dataset,Functional Genomics; Virology; Comparative Genomics; Epigenomics; Metagenomics; Transcriptomics; Microbiology; Bioinformatics; Genomics; Metaproteomics,COVID-19,10.1093/nar/gkr1202; 10.1093/nar/gkq1079; 10.1093/nar/gkm929; 10.1093/nar/gkn723; 10.1093/nar/gks1195; 10.1093/nar/gkt1030; 10.1093/nar/gkx1094; 10.1093/nar/gkz956; 10.1093/nar/gky989; 10.1093/nar/gkw1070; 10.1093/nar/gkv1276; 10.1093/nar/gku1216; 10.1186/s12859-020-3537-3; 10.1093/nar/gkae1114,,ncbi genetic sequence database,genbank,ncbi.nlm.nih.gov,True,url,National Center for Biotechnology Information - GenBank,keyword
NCBI Virus,,https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/,2930,10.25504/FAIRsharing.d38075,"NCBI Virus is a community portal for viral sequence data from RefSeq, GenBank and other NCBI repositories.",ready,knowledgebase,United States,2013,,,"Intramural Research Program (IRP) of the National Institutes of Health, Bethesda, MD; National Library of Medicine (NLM), Bethesda, MD, USA",Government body,James Rodney Brister,jamesbr@ncbi.nlm.nih.gov,open,open,,,,,,https://www.re3data.org/repository/r3d100014322,dataset,Life Science; Taxonomy; Virology; Epidemiology; Genomics,COVID-19,10.1093/nar/gku1207; 10.1093/nar/gkw1065,,ncbi virus,,ncbi.nlm.nih.gov,True,url,National Center for Biotechnology Information - GenBank,keyword
National Institute of Health - National COVID Cohort Collaborative,N3C,https://covid.cd2h.org/,4073,10.25504/FAIRsharing.bbbffe,"The National COVID Cohort Collaborative (N3C) is a collaboration among the NCATS-supported Clinical and Translational Science Awards (CTSA) Program hubs, the National Center for Data to Health (CD2H), distributed clinical data networks (PCORnet, OHDSI, ACT, TriNetX), and other partner organizations, with overall stewardship by NIH’s National Center for Advancing Translational Sciences (NCATS). The N3C aims to improve the efficiency and accessibility of analyses with COVID-19 clinical data, expand our ability to analyze and understand COVID, and demonstrate a novel approach for collaborative pandemic data sharing.
",ready,repository,United States,2020,National Institutes of Health; National Center for Advancing Translational Sciences,Government body; Research institute,National Center for Data to Health,Government body,Melissa A. Haendel,haendel@ohsu.edu,controlled,controlled,,"N3C policies, agreements, forms",https://covid.cd2h.org/policy,,,https://www.re3data.org/repository/r3d100013422,dataset; image,Clinical Studies; Public Health; Medical Virology,COVID-19,,,national institute of health - national covid cohort collaborative,n3c,covid.cd2h.org,True,url,National Institute of Health - National COVID Cohort Collaborative,keyword
Pediatric COVID-19 Case Registry,,https://www.pedscovid19registry.com/,4069,10.25504/FAIRsharing.eb03f0,"The COVID-19 clinical presentation is poorly defined in pediatric populations, as most of the reported known cases are adults. We aim to describe the epidemiology, clinical presentation, management, and outcomes associated with COVID-19 ​among pediatric patients across the United States of America. ​​ 
",deprecated,repository,United States,,,,Pediatric Infectious Diseases Transplant Network; St. Jude Children's Research Hospital,Research institute; Consortium, Pediatric COVID-19 Case Registry Coordinators,PIDTRANCoordinators@stjude.org,controlled,open,,,,,,,dataset,Pediatrics; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,,,pediatric covid-19 case registry,,pedscovid19registry.com,True,url,Pediatric COVID-19 Case Registry,keyword
Pregnancy CoRonavIrus Outcomes RegIsTrY,PRIORITY,https://priority.ucsf.edu/,3253,10.25504/FAIRsharing.uXrXUe,PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY) is a nationwide study of pregnant or recently pregnant people who are either under investigation for Coronavirus infection (COVID-19) or have been confirmed to have COVID-19. This study is being done to help patients and healthcare providers better understand how COVID-19 impacts pregnant people and their newborns.,ready,repository,United States,2020,"CDC Foundation, Atlanta, GA, USA; UCSF COVID-19 Response Fund, San Francisco, CA, USA; Yellow Chair Foundation, San Francisco, CA, USA",Charitable foundation,"University of California, Los Angeles, CA, USA; University of California, San Francisco, CA, USA",University,General contact,PRIORITYCOVID19@ucsf.edu,controlled,controlled,,UCSF Terms of Use,https://www.ucsf.edu/terms-of-use,,,,questionnaire/survey; dataset; other object type,Clinical Studies; Epidemiology; Health Science; Infectious Disease Medicine; Medical Virology,COVID-19; Observations; Pregnancy,ciaa1411,,pregnancy coronavirus outcomes registry,priority,priority.ucsf.edu,True,url,Pregnancy CoRonavIrus Outcomes RegIsTrY,keyword
"Psoriasis Patient Registry for Outcomes, Therapy and Epidemiology of COVID-19 Infection",PsoProtect,https://psoprotect.org/,4072,10.25504/FAIRsharing.09e6e9,"PsoProtect is an international registry for health care providers to report outcomes of COVID-19 in individuals with psoriasis. It provides regular, open access summaries of all reported cases, for the benefit of the international psoriasis community.

",ready,repository,Worldwide,2020,,,St John’s Institute of Dermatology,Research institute,Satveer Mahil,satveer.2.mahil@kcl.ac.uk,controlled,open,,PsoProtect Data Privacy Notice,https://psoprotect.org/data-privacy-notice/,,,,publication; dataset,Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations; Psoriasis,10.1016/j.det.2021.05.013; 10.1016/j.jaad.2020.06.050,,"psoriasis patient registry for outcomes, therapy and epidemiology of covid-19 infection",psoprotect,psoprotect.org,True,url,"Psoriasis Patient Registry for Outcomes, Therapy and Epidemiology of COVID-19 Infection",keyword
SECURE-Cirrhosis Registry,,https://covidcirrhosis.web.unc.edu/,3256,10.25504/FAIRsharing.YlASKr,"SECURE-Cirrhosis Registry is a secure, online, de-identified Personal Health Identifier (PHI)-free reporting registry for patients with chronic liver disease and post-liver transplantation",deprecated,repository,United States,2020,,,,,General contact,covid.cirrhosis@unc.edu,controlled,controlled,,,,,,,dataset,Critical Care Medicine; Epidemiology; Gastroenterology; Health Science; Infectious Disease Medicine; Medical Virology,Cirrhosis; COVID-19; Dashboard; hepatology; Observations,S0168-8278(20)33667-9; S2468-1253(20)30271-5,,secure-cirrhosis registry,,covidcirrhosis.web.unc.edu,True,url,Surveillance Epidemiology of Coronavirus Under Research Exclusion-Liver,keyword
SECURE-Sickle Cell Disease Registry,Secure-SCD Registry,https://covidsicklecell.org/,3289,10.25504/FAIRsharing.SUv0eF,This registry is designed to capture pediatric and adult COVID-19 cases that are occurring across the world in patients living with sickle cell disease. The goal of the registry is to report on outcomes of cases of COVID-19 in this population of patients.,deprecated,repository,United States,2020,,,"Medical College of Wisconsin (MCW), Wisconsin, USA",University,General contact,covid.sicklecell@mcw.edu,not found,not found,,,,,,,questionnaire/survey,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations; sickle cell disease,,,secure-sickle cell disease registry,secure-scd registry,covidsicklecell.org,True,url,Surveillance Epidemiology of Coronavirus Under Research Exclusion-Sickle Cell Disease,keyword
Sequence Read Archive,SRA,http://www.ncbi.nlm.nih.gov/sra,1978,10.25504/FAIRsharing.g7t2hv,"The SRA is NIH's primary archive of high-throughput sequencing data and is part of the International Nucleotide Sequence Database Collaboration (INSDC) that includes at the NCBI Sequence Read Archive (SRA), the European Bioinformatics Institute (EBI), and the DNA Database of Japan (DDBJ). Data submitted to any of the three organizations are shared among them. SRA accepts data from all kinds of sequencing projects including clinically important studies that involve human subjects or their metagenomes, which may contain human sequences. These data often have a controlled access via dbGaP (the database of Genotypes and Phenotypes).",ready,repository,United States,2007,,,"National Center for Biotechnology Information (NCBI), Rockville, MD, USA",Government body,General Contact,sra@ncbi.nlm.nih.gov,open,open,,Open Data Commons Public Domain Dedication & License (PDDL) v1.0,http://opendatacommons.org/licenses/pddl/1.0/,,,https://www.re3data.org/repository/r3d100010775; https://scicrunch.org/resolver/RRID:SCR_004891,dataset,Environmental Science; Life Science; Epigenomics; Transcriptomics; Metatranscriptomics; Genomics; Medical Virology,COVID-19,10.1093/nar/gkm1000; 10.1093/nar/gkr854; 10.1186/s13742-015-0064-7; 10.5281/zenodo.15677383,,sequence read archive,sra,ncbi.nlm.nih.gov,True,url,National Center for Biotechnology Information - GenBank,keyword
Surveillance Epidemiology of Coronavirus (COVID-19) Under Research Exclusion - IBD,SECURE-IBD,https://covidibd.org/,2936,10.25504/FAIRsharing.88637f,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-IBD) is an international, pediatric and adult database to monitor and report on outcomes of COVID-19 occurring in IBD patients. The goals of the registry is to rapidly define the impact of COVID-19 on patients with IBD and how factors such as age, comorbidities, and IBD treatments impact COVID outcomes.",deprecated,repository,United States,2020,,,"Icahn School of Medicine at Mount Sinai; University of North Carolina, Chapel Hill, USA",Research institute; University,Michael D. Kappelman,Michael_Kappelman@med.unc.edu,not found,not found,,,,,,https://www.re3data.org/repository/r3d100013313,object type not found,Virology; Biomedical Science; Epidemiology,Bowel disease; COVID-19,,,surveillance epidemiology of coronavirus (covid-19) under research exclusion - ibd,secure-ibd,covidibd.org,True,url,Surveillance Epidemiology of Coronavirus Under Research Exclusion-Inflammatory Bowel Disease,keyword
