name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score
Health Atlas,,https://www.health-atlas.de/,6783,10.25504/FAIRsharing.22dee3,"The Health Atlas - Local Data Hub/Leipzig is an alliance of medical ontologists, medical systems biologists and clinical trials groups to design and implement a multi-functional and quality-assured atlas. It provides models, data and metadata on specific use cases from medical research fields.",ready,repository,Germany; United Kingdom,,,,"University of Manchester; Heidelberg Institute for Theoretical Studies; Institute for Medical Informatics, Statistics, and Epidemiology (IMISE), Leipzig University","Government body; University; Research institute, University",Markus Löffler,markus.loeffler@imise.uni-leipzig.de,partially open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,https://www.re3data.org/repository/r3d100012652,publication; dataset; model,Translational Medicine; Clinical Studies; Medicine,,,0.26086112765736374
Human Health Exposure Analysis Resource Data Repository,HHEAR,https://hheardatacenter.mssm.edu/,5579,10.25504/FAIRsharing.affe7e,"Human Health Exposure Analysis Resource (HHEAR) Data Center provides a data repository for storing epidemiologic and biomarker data for CHEAR and HHEAR research studies to improve our knowledge of the comprehensive effects of environmental exposures on human health throughout the life course. Registered users will have access to publicly available deidentified datasets. In addition, there is a publicly accessible HHEAR ontology that provides a common vocabulary with unambiguous definitions of concepts and variables across studies to allow for pooling of studies.",ready,repository,United States,,"National Institute of Environmental Health Sciences, National Institutes of Health; National Institutes of Health",Government body,Human Health Exposure Analysis Resource,Consortium,HHEAR Support,HHEARsupport@mssm.edu,partially open,controlled,,,,,,,document; dataset; terminology artifact,Clinical Studies; Public Health; Health Science,,,0.2606602585902925
NSHD46 Database,,https://datashare.ndph.ox.ac.uk/nshd46/index.cgi,7911,,"The NSHD46 Database is an online showcase of the National Survey of Health and Development 1946 birth cohort, listing variables and metadata collected over decades of follow‑up. It allows researchers to browse and discover clinical, biological, questionnaire, and life‑course data from the study before applying for access. While only non‑sensitive summary information is displayed, it helps researchers plan and request detailed data for health and population research.",ready,repository,United Kingdom,,,,Medical Research Council; National Survey of Health and Development,Government body; Research institute,General Contact,mrclha.enquiries@ucl.ac.uk,partially open,not applicable,,,,,,,dataset,Clinical Studies; Epidemiology; Public Health; Social and Behavioural Science,,,0.2586400976500137
Clinical Trials Registry - India,CTRI,https://ctri.nic.in/Clinicaltrials/login.php,7284,10.25504/FAIRsharing.75bbec,"The Clinical Trials Registry- India (CTRI), hosted at the ICMR's National Institute for Research in Digital Health and Data Science (https://nims.icmr.org.in), is a free and online public record system for registration of clinical trials being conducted in India.",ready,repository,India,,,,"Indian Council of Medical Research, India",Government body,General Contact,ctri@gov.in,open,open,,,,,,https://www.re3data.org/repository/r3d100010980; https://scicrunch.org/resolver/SCR_000679,dataset,Clinical Studies,,,0.2584923310022012
Deutsches Register Klinischer Studien,DRKS,https://www.bfarm.de/DE/Das-BfArM/Aufgaben/Deutsches-Register-Klinischer-Studien/_node.html,6952,10.25504/FAIRsharing.cda1c2,"The DRKS (German Clinical Trials Register) is a publicly accessible database for planned, ongoing, and completed clinical studies in Germany. It was established to ensure transparency in medical research and is recognized as a WHO Primary Registry. Investigators can register their trials there, and patients or physicians can search for trials they might join.",ready,repository,Germany,,,,Federal Institute for Drugs and Medical Devices,Government body,Liesl Grobler,liesl.grobler@uct.ac.za,open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,https://www.re3data.org/repository/r3d100011347,dataset,Clinical Studies,,10.1016/s0140-6736(08)61498-1,0.2584923310022012
Archived Clinical Research Datasets,,https://www.ninds.nih.gov/current-research/research-funded-ninds/clinical-research/archived-clinical-research-datasets,5599,,"The data repository houses NINDS, Division of Clinical Research (DCR)- funded studies and trials in neurological areas such as Stroke, Parkinson’s disease, Migraine, Multiple Sclerosis and other neurological disorders. The data requests and approvals are managed by NINDS. Imaging, biosamples and other types of data are not supported by this repository. Contact your Program Official to determine if this repository is a good fit for your application. ",ready,repository,United States,,National Institutes of Health,Government body,National Institute of Neurological Disorders and Stroke,Research institute,,,controlled,controlled,,,,,,,publication; dataset; image,Clinical Studies,,,0.2584923310022012
The Vaccine Investigation and Online Information Network,VIOLIN,https://violinet.org,4720,10.25504/FAIRsharing.24b97b,"The Vaccine Investigation and Online Information Network (VIOLIN) is a web-based central resource that integrates vaccine literature data mining, vaccine research data curation and storage, and curated vaccine data analysis for vaccines and vaccine candidates developed against various pathogens of high priority in public health and biological safety. The vaccine data includes research data from vaccine studies using humans, natural and laboratory animals. VIOLIN annotates, extracts and stores vaccine-related, peer-reviewed papers from PubMed. The curated vaccine-related information contains many categories such as general pathogenesis, protective immunity, vaccine preparation and characteristics, host responses including vaccination protocol and efficacy against virulent pathogen infections. All data within the database is edited manually and is derived primarily from peer-reviewed publications. The curated data is stored in a relational database and can be queried using various VIOLIN search programs.",ready,knowledgebase,United States,,"National Institute of Allergy and Infectious Diseases, National Institutes of Health; National Institute of Allergy and Infectious Diseases, National Institutes of Health; National Institute of Allergy and Infectious Diseases, National Institutes of Health; National Institute of Allergy and Infectious Diseases, National Institutes of Health; University of Michigan Medical School, USA",Government body; University,"He Group, University of Michigan Medical School, Ann Arbor, USA",Lab,Yongqun He,yongqunh@med.umich.edu,partially open,controlled,,,,,,https://bioregistry.io/registry/violinnet,document; publication; dataset,Virology; Immunology; Medical Microbiology; Infectious Disease Medicine,,10.1093/nar/gkt1133; 10.1093/nar/gkm1039; 10.1016/j.jvacx.2021.100139; 10.1093/narcan/zcad060; 10.1186/1471-2105-15-S4-S2; 10.1016/j.vaccine.2012.11.066,0.25418158504464894
Mexican Health and Aging Study,MHAS,http://www.mhasweb.org/,2251,10.25504/FAIRsharing.n8qft8,"The MHAS study is a series of questionnaires distributed in waves, the fourth of which was fielded in the Fall of 2015. Research goals include, but are not limited to the following: examination of the aging processes and its disease and disability burden in a large representative panel of older Mexicans; evaluation of the effects of individual behaviors, early life circumstances, migration and economic history, community characteristics, and family transfer systems on multiple health outcomes; and comparison of the health dynamics of older Mexicans with comparably aged Mexican-born migrants in the U.S. and second generation Mexican-American using similar data from the U.S. population (for example the biennial Health and Retirement Study HRS) to assess the durability of the migrant health advantage.",ready,repository,Mexico; United States,,"National Institute on Aging (NIA), Bethesda, MD, USA",Government body,,,Rebeca Wong,rewong@utmb.edu,open,not found,,Mexican Health and Aging Study - Unrestricted after Registration (Majority); MHAS - Usage Restricted (Subset of Data only),http://www.mhasweb.org/Data.aspx; http://www.mhasweb.org/resources/MHAS%20Restricted-Use%20Files.pdf,,,https://www.re3data.org/repository/r3d100011840; https://scicrunch.org/resolver/RRID:SCR_000818,questionnaire/survey; dataset,Biomedical Science; Health Science,,10.21149/spm.v57s1.7593,0.2525251603102562
Oral Cancer Gene Database,OrCGDB,https://www.actrec.gov.in/OCDB/index.htm,6652,10.25504/FAIRsharing.d1fabf,OrCGDB is a user-friendly database containing information on 374 genes related to oral cancer including gene function mutations expression pathways and clinical relevance with search options and an interaction network linking gene relationships through PubMed references.,ready,knowledgebase,India,,,,"Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre (TMC), Navi Mumbai, India",Government body,Nikhil S. Gadewal ; Surekha M. Zingde,ngadewal@actrec.gov.in; szingde@actrec.gov.in,open,not applicable,,,,,,https://www.re3data.org/repository/r3d100011007,dataset,Life Science; Clinical Studies,,10.6026/97320630006169,0.2521849797131894
National Database for Clinical Trials related to Mental Illness,NDCT,https://data-archive.nimh.nih.gov/ndct/,2214,10.25504/FAIRsharing.1h7t5t,"NDCT is an informatics platform for the sharing of clinical trial data funded by the National Institute of Mental Health. NDCT is a part of the NIMH Data Archive (NDA), powered by the NDAR (National Database for Autism Research) infrastructure.",deprecated,repository,United States,,ELIXIR Italy,Government body,"National Institute of Mental Health (NIMH), Bethesda, MD, USA",Government body,Help email,NDAHelp@mail.nih.go,not found,not found,,,,,,https://www.re3data.org/repository/r3d100012481; https://scicrunch.org/resolver/RRID:SCR_013795,object type not found,Preclinical Studies; Biomedical Science; Health Science,,,0.2495534285554074
Research Domain Criteria Database,RDoCdb,http://rdocdb.nimh.nih.gov,2213,10.25504/FAIRsharing.af3j4h,"RDoCdb is an informatics platform for the sharing of human subjects data related to Mental Health research. This database may be used to plan for data submission, share your data, query data that is already shared, or to share your results related to a publication or finding. RDoCdb is is a part of the NIMH Data Archive (NDA), powered by the National Database for Autism Research (NDAR) infrastructure.",deprecated,repository,United States,,ELIXIR Italy,Government body,"National Institute of Mental Health (NIMH), Bethesda, MD, USA",Government body,,rdocdbhelp@mail.nih.gov,not found,not found,,RDoCdb Disclaimer; RDoCdb Privacy Policy,https://data-archive.nimh.nih.gov/rdocdb/footer/disclaimer.html; https://data-archive.nimh.nih.gov/rdocdb/footer/privacy-policy.html,,,,object type not found,Preclinical Studies; Biomedical Science; Health Science,,,0.2495534285554074
International Clinical Trials Registry Platform Search Portal,ICTRP,https://trialsearch.who.int/,2650,10.25504/FAIRsharing.5a3bc5,"The WHO International Clinical Trials Registry Platform (ICTRP) registry platform and clinical trial Search Portal aims to provide a single point of access to information about ongoing and completed clinical trials to ensure that a complete view of research is accessible to all those involved in health care decision making. Global health and scientific community access is provided through a centralized database system containing primary clinical trial registrations from primary data providers in the WHO Registry Network in facilitating unambiguous identification of clinical trials and links to full original study records. In May 2022, the Seventy-fifth World Health Assembly adopted a resolution (WHA75.8) on “Strengthening clinical trials to provide high-quality evidence on health interventions and to improve research quality and coordination”. The WHO secretariat has developed this webpage in order to provide a single point of access for information and resources of relevance to resolution WHA 75.8. This includes initiatives and guidances highlighted to WHO as part of the public consultation held related to WHA 75.8 in October and November 2022. This webpage will be updated as activities related to the resolution progress.",ready,knowledgebase_and_repository,Switzerland; Worldwide,,,,World Health Organization,Government body,General contact,ictrpinfo@who.int,open,controlled,WHO data policy,,,,,https://www.re3data.org/repository/r3d100012586; https://scicrunch.org/resolver/RRID:SCR_004475,document; dataset,Virology; Preclinical Studies; Clinical Studies; Epidemiology; Pathology; Clinical Immunology; Infectious Disease Medicine,,10.1136/bmjopen-2011-000221,0.24816785886720913
Biologic Specimen and Data Repository Information Coordinating Center,BioLINCC,https://biolincc.nhlbi.nih.gov/home/,2010,10.25504/FAIRsharing.a46gtf,"The goal of Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) is to facilitate and coordinate the existing activities of the NHLBI Biorepository and the Data Repository and to expand their scope and usability to the scientific community through a single web-based user interface. BioLINCC provides a wealth of information on historical NHLBI clinical and epidemiologic studies which have data or biospecimens in the NHLBI repositories, and includes study summaries, references, and study operational documents.",ready,repository,United States,,"National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,General Contact,biolincc@imsweb.com,partially open,open,,NHLBI Data Sharing Policy,https://www.nhlbi.nih.gov/grants-and-training/policies-and-guidelines/nhlbi-policy-for-data-sharing-from-clinical-trials-and-epidemiological-studies,,,https://www.re3data.org/repository/r3d100010834; https://scicrunch.org/resolver/RRID:SCR_013142,document; dataset,Preclinical Studies; Biomedical Science; Epidemiology,,10.1136/thoraxjnl-2012-201876,0.24591017771420937
eHealth Ireland Open Data Portal,,https://www.ehealthireland.ie/,2965,10.25504/FAIRsharing.b3a8a7,"The eHealth Ireland Open Data Portal makes it easy to find and access data from across the Irish Health Sector. This includes information on available health services, statistics on hospital cases and national waiting lists, and performance of new digital initiatives, such as eReferrals.",deprecated,repository,Ireland,,"Department of Public Expenditure and Reform, Republic of Ireland",Government body,eHealth Ireland,Government body,,questions@ehealthireland.ie,open,not applicable,,Creative Commons (CC) Public Domain Dedication and Certification ,https://creativecommons.org/licenses/publicdomain/,,,,object type not found,Public Health; Primary Health Care,,,0.24491311423617101
Pharmacokinetics Database,PK-DB,https://pk-db.com,3196,10.25504/FAIRsharing.AYegqK,PK-DB an open database for pharmacokinetics information from clinical trials as well as pre-clinical research. The focus of PK-DB is to provide high-quality pharmacokinetics data enriched with the required meta-information for computational modeling and data integration.,ready,knowledgebase_and_repository,Germany,,"Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany; Bundesministerium fur Bildung und Forschung (BMBF), Germany",Government body,"Humboldt-Universität zu Berlin, Berlin, Germany",University,Matthias König,konigmatt@googlemail.com,open,not found,,PK-DB's Terms of use,https://github.com/matthiaskoenig/pkdb/blob/develop/TERMS_OF_USE.md,,,,dataset,Life Science; Pharmacogenomics; Personalized Medicine; Preclinical Studies; Clinical Studies; Pharmacology; Clinical Veterinary Medicine,,10.1093/nar/gkaa990,0.2447386392516358
Comprehensive Epidemiological Data Resource,CEDR,https://oriseapps.orau.gov/cedr/,7141,10.25504/FAIRsharing.bbd850,The Comprehensive Epidemiologic Data Resource (CEDR) is the U.S. Department of Energy (DOE) electronic database comprised of health studies of DOE contract workers and environmental studies of areas surrounding DOE facilities.,ready,repository,United States,,,,"Oak Ridge National Laboratory, USA",Government body,Linh Duong - Program Manager; David Girardi - Project Manager,linh.duong@hq.doe.gov; cedr@orau.org,open,controlled,,,,,,https://www.re3data.org/repository/r3d100000022,dataset,Epidemiology; Public Health,,,0.2444906769558705
CHILDdb,,https://childstudy.ca/childdb/,6627,10.25504/FAIRsharing.cd354f,CHILDdb provides an opportunity for researchers to explore CHILD data to study genetic and environmental factors influencing child health and development. ,ready,repository,Canada,,"Canadian Institutes of Health Research; AllerGen NCE, Hamilton, ON, Canada",Government body; Consortium,CHILD Cohort Study,Consortium,General Contact,child@mcmaster.ca,open,not found,,,,,,https://www.re3data.org/repository/r3d100013968,dataset,Pediatrics; Genetics; Obstetrics; Public Health; Health Science; Social Medicine,,,0.24082012901057737
Genetic Epidemiology Simulation Database,GESDB,http://gesdb.nhri.org.tw/,2269,10.25504/FAIRsharing.rbba3x,"GESDB is a platform for sharing simulation data and discussion of simulation techniques for human genetic studies. The database contains simulation scripts, simulated data, and documentations from published manuscripts. The forum provides a platform for Q&A for the simulated data and exchanging simulation ideas. GESDB aims to promote transparency and efficiency in simulation studies for human genetic studies.",deprecated,repository,Taiwan,,"National Health Research Institutes (NIHR), Zhunan, Taiwan",Undefined,,,Ren-Hua Chung,rchung@nhri.org.tw,not found,not found,,,,,,,object type not found,Life Science; Epidemiology; Statistics,,10.1093/database/baw082,0.2400402764726905
Influenza Research Database,IRD,http://www.fludb.org,1726,10.25504/FAIRsharing.ws7cgw,"The Influenza Research Database (IRD) is a free, open, publicly-accessible resource funded by the U.S. National Institute of Allergy and Infectious Diseases through the Bioinformatics Resource Centers program. IRD provides a comprehensive, integrated database and analysis resource for influenza sequence, surveillance, and research data, including user-friendly interfaces for data retrieval, visualization, and comparative genomics analysis, together with personal login- protected ‘workbench’ spaces for saving data sets and analysis results. IRD integrates genomic, proteomic, immune epitope, and surveillance data from a variety of sources, including public databases, computational algorithms, external research groups, and the scientific literature.",deprecated,knowledgebase,United States,,"National Institute of Allergy and Infectious Diseases (NIAID), National Institutes of Health (NIH), Bethesda, MD, USA; Bioinformatics Resource Centers, National Institute of Allergy and Infectious Diseases (NIAID), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"J. Craig Venter Institute (JCVI), La Jolla, CA, USA; Northrop Grumman Health IT; Vecna Technologies",Company; Research institute,Richard Scheuermann,rscheuermann@jcvi.org,not found,not found,,,,,,https://www.re3data.org/repository/r3d100011558; https://scicrunch.org/resolver/RRID:SCR_006641,object type not found,Virology; Biomedical Science; Epidemiology; Proteomics; Genomics,,10.1111/j.1750-2659.2011.00331.x; 10.1128/JVI.06901-11; 10.1016/j.virol.2013.08.021; 10.1371/journal.pone.0099979; 10.1016/j.meegid.2014.07.015; 10.4137/EBO.S21501; 10.1038/sdata.2014.33; 10.1128/JVI.03636-14; 10.1093/nar/gkw857,0.23604522451500426
Orphadata,Orphadata,http://www.orphadata.org/,2751,10.25504/FAIRsharing.d1a667,"Orphadata provides the scientific community with comprehensive, quality datasets related to rare diseases and orphan drugs from the Orphanet knowledge base, in reusable formats.",ready,knowledgebase,France; European Union,,European Union (EU),Government body,"Institut National de la Sante et de la Recherche Medicale (INSERM), Paris, France",Research institute,,,open,not applicable,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,,dataset,Biomedical Science; Health Science,,,0.23467082663386482
CancerModels.Org,CancerModels.Org,https://www.cancermodels.org/,4483,10.25504/FAIRsharing.738b9c,"CancerModels.Org is a cancer research platform that aggregates clinical, genomic and functional data from various types of patient-derived cancer models (PDCMs)- xenografts, organoids and cell lines. Currently, the portal has over 7000 PDCMs across multiple cancer types, including rare paediatric models and models from minority ethnic backgrounds. The CancerModels.Org standardises, harmonises and integrates clinical metadata, molecular and treatment-based data from academic and commercial providers worldwide. It is the largest open access and free to consumer resource of this kind. ",ready,knowledgebase_and_repository,United Kingdom,,"National Cancer Institute, National Institutes of Health",Government body,"European Bioinformatics Institute, Wellcome Genome Campus",Research institute,Zinaida Perova,zina@ebi.ac.uk,open,open,,Apache License 2.0; Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; EMBL-EBI Terms of Use; The Jackson Laboratory Terms of Use,http://www.apache.org/licenses/LICENSE-2.0; https://creativecommons.org/publicdomain/zero/1.0/; http://www.ebi.ac.uk/about/terms-of-use; https://www.jax.org/terms-of-use,,,https://www.re3data.org/repository/r3d100012961; https://fairsharing.org/10.25504/FAIRsharing.738b9c,dataset; model,Translational Medicine; Personalized Medicine; Preclinical Studies; Genetics,,10.1093/nar/gkac1021,0.23453521162851976
Longitudinal Aging Study Amsterdam Database,LASA Database,https://www.lasa-vu.nl/index.htm,7148,10.25504/FAIRsharing.79782a,"The Longitudinal Aging Study Amsterdam (LASA) is a long-term, multidisciplinary cohort study of older adults in the Netherlands, started in 1992, tracking physical, cognitive, emotional, and social functioning. It includes multiple measurement “waves” over decades, allowing researchers to study trajectories and predictors of aging. Access to LASA data requires submitting a research proposal, which is reviewed by a steering committee; the data are not open publicly but are shared under conditions to ensure scientific use.",ready,repository,Netherlands,,Netherlands Organisation for Scientific Research,Research institute,"Amsterdam UMC; Vrije Universiteit Amsterdam, The Netherlands",University,General Contact,lasa@amsterdamumc.nl,controlled,not applicable,,,,,,https://www.re3data.org/repository/r3d100010149,dataset,Clinical Studies; Public Health; Social Science,gerontology,,0.23364654557490763
AphasiaBank,,https://aphasia.talkbank.org/,5569,10.25504/FAIRsharing.258c91,AphasiaBank is a shared database of multimedia interactions for the study of communication in aphasia. Access to the data in AphasiaBank is password protected and restricted to registered researchers.,ready,repository,United States,,National Institute for Deafness and other Communication Disorders; National Institutes of Health,Government body,"Carnegie Mellon University, Pittsburgh, USA",University,Brian MacWhinney; Nan Bernstein Ratner,macw@cmu.edu; nratner@umd.edu,controlled,open,,,,,,,multimedia; dataset,Clinical Studies; Social and Behavioural Science,,,0.23342262470333536
AIP Mutation Database,,https://aip.fipapatients.org,3295,10.25504/FAIRsharing.b9e4bd,"The AIP Mutation Database collects variants (both pathogenic, non-pathogenic and with unknown significance) related to pituitary adenoma predisposition (PAP) and to familial isolated pituitary adenoma (FIPA) syndromes and their clinical information in order to understand better the molecular and clinical details of the disease. Variants are reported according to the GRCh37/hg19 assembly of the human genome and the reference sequence used is the AIP Locus Reference Genomic.",deprecated,knowledgebase_and_repository,United Kingdom,,,,"Barts and The London School of Medicine and Dentistry, London, UK",University,Dr Serban Radian,s.radian@qmul.ac.uk,open,open,,AIP Copyright and Disclaimer,https://aip.fipapatients.org/menu/main/background,,,,object type not found,Biomedical Science; Genomics,,,0.233284117165262
eyeGENE: The National Ophthalmic Genotyping and Phenotyping Network,eyeGENE,https://eyegene.nih.gov,2489,10.25504/FAIRsharing.5nnxqn,"The National Ophthalmic Disease Genotyping and Phenotyping Network (eyeGENE®) is a genomic medicine initiative created by the National Eye Institute (NEI), part of the National Institutes of Health (NIH), in partnership with clinics and laboratories across the vision research community. The core mission of eyeGENE® is to facilitate research into the causes and mechanisms of rare inherited eye diseases and accelerate pathways to treatments. eyeGENE® was designed to achieve this goal through clinical and molecular diagnosis coupled with granting controlled access to clinical and genetic information in a data repository, to DNA in a biorepository, and to individuals consented to participate in research and clinical trials. The eyeGENE® Network currently includes a Coordinating Center at the NEI, CLIA†-approved molecular genetic testing laboratories around the Nation, a patient registry, controlled-access centralized biorepository for DNA, and a curated de-identified genotype / phenotype database. These components stimulate patient and eye health care provider interest in genetics-based clinical care and generate involvement in ophthalmic research, thereby accelerating vision research and treatment development for these diseases.",ready,knowledgebase,United States,,,,NEI NIH,Government body,Kerry Goetz,goetzke@nei.nih.gov,controlled,controlled,,,,,,https://www.re3data.org/repository/r3d100012836; https://scicrunch.org/resolver/RRID:SCR_004523,dataset,Human Genetics; Preclinical Studies; Biomedical Science; Ophthalmology; Medicine,,10.1111/cge.12193; 10.1097/ICU.0b013e32835715c9,0.23325090181754032
ECRIN Clinical Research Metadata Repository,crMDR,https://crmdr.ecrin.org/,3067,10.25504/FAIRsharing.1cf229,"The ECRIN Clinical Research Metadata Repository is a portal allowing users to search for studies using a variety of criteria and identify the data objects (trial registrations, results summaries, journal articles, protocols etc.) associated with them. The repository is intended to support researchers and reviewers locate available data objects of all types, from a wide variety of sources. Where the data is publicly available, links are provided to directly access the data object. For controlled data, links to information about data access are available.",ready,knowledgebase,European Union,,EOSC Hub; Horizon 2020 eXtreme Data Cloud (XDC) Project; EOSC-Life,Consortium,"National Institute for Nuclear Physics (INFN), Rome, Italy; European Clinical Research Infrastructure Network (ECRIN)",Research institute; Consortium,Steve Canham,steve.canham@ecrin.org,open,not applicable,,ECRIN Legal Disclaimers,https://newmdr.ecrin.org/Disclaimer,,,https://www.re3data.org/repository/r3d100013663,dataset,Biomedical Science; Clinical Studies; Medical Informatics; Medicine,Metadata standardization,,0.23236787276604237
AIDA Data Hub,,https://datahub.aida.scilifelab.se/,6732,10.25504/FAIRsharing.d988bd,"The AIDA Data Hub is national e-infrastructure for research and clinical innovation in data driven precision health, with a base in multi-modal diagnostics and medical imaging AI. They offer data, services, compute and storage resources, and advanced support to researchers, industry, and caregivers of national significance.",ready,repository,Sweden,,,,Analytic Imaging Diagnostics Arena (AIDA),Research institute,Joel Hedlund,joel.hedlund@liu.se,partially open,controlled,,AIDA license; AIDA BY license; AIDA CA license,https://datahub.aida.scilifelab.se/sharing/policy/#aida-license; https://datahub.aida.scilifelab.se/10.23698/aida/affai#aida-by-license; https://datahub.aida.scilifelab.se/sharing/policy/#aida-ca-license,,,https://www.re3data.org/repository/r3d100013031,image,Clinical Studies; Health Science,,,0.2307311688524607
EORTC clinical trials,EORTC,http://www.eortc.org/clinical-trials/,2273,10.25504/FAIRsharing.ja871b,European Organisation for Research and Treatment of Cancer database of clinical trials.,ready,repository,European Union,,European Organisation for Research and Treatment of Cancer,Consortium,,,,,controlled,controlled,,,,,,,other object type,Preclinical Studies; Biomedical Science,,,0.23000446984429446
Kids First Data Resource,,https://portal.kidsfirstdrc.org,5575,10.25504/FAIRsharing.d7e1f7,"The Common Fund’s Gabriella Miller Kids First Pediatric Research Program (Kids First) has developed the Kids First Data Resource, a large-scale data resource to help researchers uncover new insights into the biology of childhood cancer and structural birth defects. It provides clinically annotated genomic data and is integrated with several tools to accelerate pediatric disease research. The Kids First Data Resource Portal allows users to query, or search, Kids First datasets, build virtual cohorts, or collections, of individual participants, and identify datasets for analysis. CAVATICA, built by Seven Bridges Genomics, allows users to run bioinformatics workflows in a cloud-based environment.",ready,repository,United States,,"Eunice Kennedy Shriver National Institute of Child Health and Human Development; NIH Common Fund; National Human Genome Research Institute; National Cancer Institute, National Institutes of Health; National Heart, Lung and Blood Institute, National Institutes of Health; National Institutes of Health","Government body; Government body, Research institute; Research institute, Government body",Kids First,"Charitable foundation, Consortium",Support,support@kidsfirstdrc.org,controlled,controlled,,,,,,,dataset,Clinical Studies,,,0.22977906298248865
Australian Data Archive,ADA,https://ada.edu.au,2675,10.25504/FAIRsharing.sN8d9i,The Australian Data Archive (ADA) provides a national service for the collection and preservation of digital research data. ADA disseminates this data for secondary analysis by academic researchers and other users. The archive is based in the ANU Centre for Social Research and Methods (CSRM) at the Australian National University (ANU).,ready,repository,Australia,,,,"Australian National University, Australia",University,General Contact,ada@ada.edu.au,open,open,,,,,,https://www.re3data.org/repository/r3d100010138; https://scicrunch.org/resolver/RRID:SCR_014706,document; dataset,Epidemiology; Social Science,,,0.22930373580065852
OBO Foundry,OBO,http://www.obofoundry.org/,2600,10.25504/FAIRsharing.847069,"The Open Biological and Biomedical Ontology (OBO) Foundry is a collective of ontology developers that are committed to collaboration and adherence to shared principles. The mission of the OBO Foundry is to develop a family of interoperable ontologies that are both logically well-formed and scientifically accurate. To achieve this, OBO Foundry participants voluntarily adhere to and contribute to the development of an evolving set of principles including open use, collaborative development, non-overlapping and strictly-scoped content, and common syntax and relations, based on ontology models that work well, such as the Gene Ontology (GO). The OBO Foundry is overseen by an Operations Committee with Editorial, Technical and Outreach working groups.",ready,repository,Worldwide,,,,The OBO Foundry,Consortium,Barry Smith,phismith@buffalo.edu,open,open,not found,,,,,,terminology artifact,Life Science; Informatics; Nutritional Science; Omics; Biomedical Science; Artificial Intelligence; Microbiology; Health Science; Infectious Disease Medicine; Earth Science; Plant Cell Biology,,10.1038/nbt1346; 10.1093/database/baab069,0.2271317516694937
CLOSER Discovery,CLOSER Discovery,https://discovery.closer.ac.uk/,2772,10.25504/FAIRsharing.L9UwAM,"CLOSER Discovery enables researchers to search and browse questionnaires and data from the UK's longitudinal studies. Relevant survey questions and variables, which can be filtered by study, topic and life stage, are available. Accessing data from each study varies according to the source and data type.",ready,knowledgebase,United Kingdom,,"Medical Research Council (MRC), London, UK; Economic and Social Research Council, UK",Government body; Research institute,"Institute of Structural and Molecular Biology, University College London, London, UK",Research institute,CLOSER Support,closer@ucl.ac.uk,open,not applicable,,Non-Commercial Government Licence,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,,,https://www.re3data.org/repository/r3d100014274,questionnaire/survey; dataset,Biomedical Science; Public Health; Social Science; Social and Behavioural Science,,10.1093/ije/dyz004,0.22712443370802848
